method,size,feasible_runs,available_drones,mean_active_drones_used,mean_active_drones_used_ratio,mean_drone_served_customers,mean_drone_share,mean_high_priority_served_by_drone_share,mean_medium_priority_served_by_drone_share,mean_low_priority_served_by_drone_share,mean_priority_tardiness_cost,mean_high_priority_tardiness,mean_p90_high_priority_tardiness,mean_drone_distance,mean_sync_wait,mean_battery_slack_after_sortie,service_value_per_drone_customer,service_value_per_active_drone,service_value_per_drone_km
M9 NILS-R,All,720,1.8472222222222223,1.7166666666666666,0.936574074074074,10.704166666666667,0.21565277777819444,0.32187298706733675,0.2073664002507462,0.17720407267148447,45039.667776894225,460.0546640496531,72.5351645605018,75.72577546196875,0.0,324.5413333527493,8063.439701677131,51362.19734892084,1294.4017917960937
M9 NILS-R,15,230,1.0,0.9391304347826087,0.9391304347826087,4.178260869565217,0.27855072463913044,0.3456277056277056,0.2516908212560386,0.2665754655972047,407.7620031455826,5.909471873235218,4.0175016228621745,36.822811353040436,0.0,452.56721031325554,1735.0962897371296,5222.196128004399,137.8864341121049
M9 NILS-R,50,210,1.2380952380952381,1.0952380952380953,0.9285714285714286,9.185714285714285,0.18371428571428572,0.28655055106735783,0.1655595036529598,0.15321548790413533,15017.650659237286,139.93746935611856,37.18398817630571,46.08136341324095,0.0,318.1716060876308,14964.09958124632,104287.64459281921,2635.6319552682876
M9 NILS-R,75,90,3.0,2.588888888888889,0.862962962962963,14.844444444444445,0.19792592592555558,0.29748438373943153,0.21412668773440433,0.14758063544026961,46509.38967903577,615.6297581643589,102.18591111328666,112.51520964466445,0.0,273.45000001959215,7534.9611342447215,39589.96580546818,939.2459599968887
M9 NILS-R,100,190,3.0,2.931578947368421,0.9771929824561405,18.321052631578947,0.18321052631578943,0.34496060694221,0.19671590330752858,0.10956350308746869,131553.80962677536,1289.929646238573,180.5048610162263,138.15713966640945,0.0,209.63272648602808,22334.526273365875,44669.05254673175,1323.7896106575638
M1 Truck-only,All,483,1.320910973084886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66358.68730205116,755.1888705802584,142.75254246738137,0.0,0.0,,,,
M1 Truck-only,15,230,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5938.9042283775925,77.03764607435913,43.286115466522176,0.0,0.0,,,,
M1 Truck-only,50,200,1.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123042.53238851564,1188.114144695926,226.15294822929502,0.0,0.0,,,,
M1 Truck-only,75,52,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114814.69073094035,2021.3524833690078,257.89629944568657,0.0,0.0,,,,
M1 Truck-only,100,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106427.5986518369,4304.4078187886,352.4742374104,0.0,0.0,,,,
