setting,parameters_json,rho,A,B,D_A_minus_B,preferred,near_tie_0p01_percent
residual_0.05,"{""residual"": 0.05}",0.1,1145.5966406081639,1145.1474656114606,0.44917499670327743,B,False
residual_0.05,"{""residual"": 0.05}",0.25,1207.8423252236278,1203.2097117035448,4.632613520082941,B,False
residual_0.10,"{""residual"": 0.1}",0.0,1074.3696827675963,1074.772958718862,-0.4032759512656412,A,False
residual_0.10,"{""residual"": 0.1}",0.1,1160.0573986231677,1159.9644819241444,0.09291669902336253,B,True
residual_0.10,"{""residual"": 0.1}",0.25,1223.9908396199794,1219.5996345723133,4.3912050476660625,B,False
residual_0.20,"{""residual"": 0.2}",0.0,1098.5477758718382,1098.969132327256,-0.4213564554177083,A,False
residual_0.20,"{""residual"": 0.2}",0.1,1188.834017778854,1188.9201138683172,-0.08609608946312619,A,True
residual_0.20,"{""residual"": 0.2}",0.25,1256.4705536560864,1252.5560035971637,3.914550058922714,B,False
service_0.00,"{""service"": 0}",0.0,1070.5335612349434,1072.0504391134427,-1.516877878499372,A,False
service_0.00,"{""service"": 0}",0.1,1156.9557101173439,1158.5727789285065,-1.6170688111626532,A,False
service_0.00,"{""service"": 0}",0.25,1221.6142888465217,1218.1132827896047,3.501006056917049,B,False
service_0.02,"{""service"": 0.02}",0.0,1070.8244544402194,1072.2328128428294,-1.4083584026100198,A,False
service_0.02,"{""service"": 0.02}",0.1,1157.39173720303,1158.7720595452179,-1.3803223421878101,A,False
service_0.02,"{""service"": 0.02}",0.25,1221.9635732601155,1218.1994825047002,3.764090755415282,B,False
service_0.04,"{""service"": 0.04}",0.0,1071.693034191678,1072.7751826558183,-1.0821484641403458,A,False
service_0.04,"{""service"": 0.04}",0.1,1158.185970413628,1159.1114710092684,-0.9255005956404148,A,False
service_0.04,"{""service"": 0.04}",0.25,1222.6384043088237,1218.646001373485,3.9924029353387596,B,False
service_0.06,"{""service"": 0.06}",0.0,1072.983845339324,1073.710597928997,-0.7267525896729694,A,False
service_0.06,"{""service"": 0.06}",0.1,1159.1149379593926,1159.52799756836,-0.41305960896738725,A,False
service_0.06,"{""service"": 0.06}",0.25,1223.3145220977647,1219.122698125133,4.19182397263171,B,False
service_0.08,"{""service"": 0.08}",0.0,1074.3696827675963,1074.772958718862,-0.4032759512656412,A,False
service_0.08,"{""service"": 0.08}",0.1,1160.0573986231677,1159.9644819241444,0.09291669902336253,B,True
service_0.08,"{""service"": 0.08}",0.25,1223.9908396199794,1219.5996345723133,4.3912050476660625,B,False
weights_0.75,"{""weights"": 0.75}",0.0,1043.5096463956208,1044.1151052928496,-0.6054588972288002,A,False
weights_0.75,"{""weights"": 0.75}",0.1,1127.588345422314,1127.236344244514,0.352001177800048,B,False
weights_0.75,"{""weights"": 0.75}",0.25,1188.1574788958624,1187.9078794170782,0.24959947878414823,B,False
weights_1.00,"{""weights"": 1}",0.0,1074.3696827675963,1074.772958718862,-0.4032759512656412,A,False
weights_1.00,"{""weights"": 1}",0.1,1160.0573986231677,1159.9644819241444,0.09291669902336253,B,True
weights_1.00,"{""weights"": 1}",0.25,1223.9908396199794,1219.5996345723133,4.3912050476660625,B,False
weights_1.25,"{""weights"": 1.25}",0.0,1100.9236675527839,1101.15297213194,-0.22930457915617808,A,False
weights_1.25,"{""weights"": 1.25}",0.1,1187.609237312793,1185.3446255624385,2.264611750354561,B,False
weights_1.25,"{""weights"": 1.25}",0.25,1249.5277057653516,1245.1289707774342,4.398734987917351,B,False
