rho,rank,objective,gap,gap_percent,y_json,z_json,w_json
0.2,6,1243.9976138344748,39.477838553250876,3.2774753360968134,"[0.0, 1.0, 0.75, 0.0, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 276.1857267943177, 260.1622475280803, 96.98202567760205]"
0.2,7,1246.9286807359297,42.408905454705746,3.520814379722781,"[0.25, 1.0, 0.75, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 275.6297300080096, 260.71824431438733, 96.98202567760309]"
0.2,8,1249.3937068094328,44.873931528208914,3.72546241656615,"[0.0, 1.0, 0.75, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 275.62973000811286, 260.7182443142836, 96.9820256776036]"
0.2,9,1249.5999826026778,45.08020732145383,3.7425875644863327,"[0.0, 1.0, 0.75, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 275.6297300080139, 260.71824431438347, 96.98202567760266]"
0.2,10,1250.9378297584326,46.41805447720867,3.8536564886509472,"[0.5, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 361.7750532772266, 174.5729210451696, 96.98202567760379]"
0.25,1,1222.787875223676,0.0,0.0,"[0.0, 1.0, 1.0, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350605, 261.88964092889086, 96.98202567760313]"
0.25,2,1225.8647972839435,3.0769220602674068,0.2516317116494582,"[0.25, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333935027, 261.88964092889375, 96.98202567760359]"
0.25,3,1228.4322853310005,5.644410107324347,0.4616017399004635,"[0.0, 1.0, 1.0, 0.5, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333935058, 261.889640928892, 96.98202567760218]"
0.25,4,1228.6088172744358,5.8209420507596406,0.4760385810739898,"[0.0, 1.0, 1.0, 0.25, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350014, 261.8896409288955, 96.98202567760437]"
0.25,5,1228.8101161404734,6.022240916797273,0.4925008694329547,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333935018, 261.88964092889375, 96.9820256776045]"
0.25,6,1262.2934856107825,39.505610387106344,3.230781984968556,"[0.0, 1.0, 0.75, 0.0, 0.5]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.45833339350486, 261.8896409288917, 96.98202567760352]"
0.25,7,1265.3127699832626,42.52489475958646,3.477700067299705,"[0.25, 1.0, 0.75, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 275.62973000789447, 260.71824431450176, 96.98202567760384]"
0.25,8,1267.8438775086508,45.05600228497474,3.684694884362738,"[0.0, 1.0, 0.75, 0.25, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 274.4583333935009, 261.8896409288964, 96.98202567760273]"
0.25,9,1268.0931043489527,45.30522912527658,3.7050767384317673,"[0.0, 1.0, 0.75, 0.0, 0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 276.185726794231, 260.16224752816623, 96.98202567760276]"
0.25,10,1269.8006523733102,47.012777149634076,3.8447205850020705,"[0.5, 1.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 276.18572679424415, 260.16224752815265, 96.98202567760325]"
