center_id,center_name,zone_id,zone_name,path_node_json,path_link_json,corridor_id,on_intact_shortest_path,intact_path_minutes,local_transfer_minutes,corridor_failure_penalty_minutes
center_17204,Wajima,zone_17202,Nanao,"[""17204"",""17461"",""17202""]","[""corr_anamizu_wajima"",""corr_nanao_anamizu""]",corr_kanazawa_nanao,False,70.0,10.0,0.0
center_17204,Wajima,zone_17202,Nanao,"[""17204"",""17461"",""17202""]","[""corr_anamizu_wajima"",""corr_nanao_anamizu""]",corr_nanao_anamizu,True,70.0,10.0,70.0
center_17204,Wajima,zone_17204,Wajima,"[""17204""]",[],corr_anamizu_noto,False,10.0,10.0,0.0
center_17204,Wajima,zone_17204,Wajima,"[""17204""]",[],corr_anamizu_suzu,False,10.0,10.0,0.0
center_17204,Wajima,zone_17204,Wajima,"[""17204""]",[],corr_anamizu_wajima,False,10.0,10.0,0.0
center_17204,Wajima,zone_17204,Wajima,"[""17204""]",[],corr_kanazawa_nanao,False,10.0,10.0,0.0
center_17204,Wajima,zone_17204,Wajima,"[""17204""]",[],corr_nanao_anamizu,False,10.0,10.0,0.0
center_17204,Wajima,zone_17205,Suzu,"[""17204"",""17461"",""17205""]","[""corr_anamizu_wajima"",""corr_anamizu_suzu""]",corr_anamizu_noto,False,90.0,10.0,0.0
center_17204,Wajima,zone_17205,Suzu,"[""17204"",""17461"",""17205""]","[""corr_anamizu_wajima"",""corr_anamizu_suzu""]",corr_anamizu_suzu,True,90.0,10.0,40.0
center_17204,Wajima,zone_17205,Suzu,"[""17204"",""17461"",""17205""]","[""corr_anamizu_wajima"",""corr_anamizu_suzu""]",corr_anamizu_wajima,True,90.0,10.0,50.0
center_17204,Wajima,zone_17205,Suzu,"[""17204"",""17461"",""17205""]","[""corr_anamizu_wajima"",""corr_anamizu_suzu""]",corr_kanazawa_nanao,False,90.0,10.0,0.0
center_17204,Wajima,zone_17205,Suzu,"[""17204"",""17461"",""17205""]","[""corr_anamizu_wajima"",""corr_anamizu_suzu""]",corr_nanao_anamizu,False,90.0,10.0,0.0
