instance_id,random_seed,scenario_id,scenario_class,n,number_of_drones,number_of_trucks,endurance_level,speed_ratio,spatial_pattern,launch_retrieval_time_class,priority_weight_profile,objective_for_reporting_nils,objective_for_reporting_no_unpairing,objective_for_reporting_paired_baseline,improvement_pct_vs_no_unpairing,improvement_pct_vs_paired_baseline,nils_result_vs_no_unpairing,nils_result_vs_paired_baseline,cpu_time_seconds_nils,cpu_time_seconds_no_unpairing,cpu_time_seconds_paired_baseline,customers_served_by_drone_nils,customers_served_by_drone_no_unpairing,customers_served_by_drone_paired_baseline,drone_service_share_nils,drone_service_share_no_unpairing,drone_service_share_paired_baseline,waiting_sync_cost_nils,waiting_sync_cost_no_unpairing,waiting_sync_cost_paired_baseline
S0039_R03,3902029,S0039,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,50,1,3,medium,1.25,uniform,short,moderate,4676.865389726513,4320.786727167536,3288.9469825892693,-8.241060830891838,-42.19947644290045,Loss,Loss,4.855588674545288,8.69079327583313,5.715078353881836,3,3,3,0.06,0.06,0.06,0.0,274.80238520050875,227.60896599158468
S0039_R04,3902030,S0039,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,50,1,3,medium,1.25,uniform,short,moderate,3778.377793112365,3542.796735470628,7969.521874616212,-6.649578715117628,52.58965528224589,Loss,Win,1.712923288345337,7.976608514785767,4.455306768417358,4,4,2,0.08,0.08,0.04,0.0,87.59845003479809,109.2077584195022
S0039_R05,3902031,S0039,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,50,1,3,medium,1.25,uniform,short,moderate,5666.973344303619,7367.156739438272,7478.295142357245,23.07787733133376,24.22105257379125,Win,Win,1.4921159744262695,5.747033357620239,1.675203561782837,5,5,3,0.1,0.1,0.06,0.0,25.677143454940136,149.63576561107
S0039_R06,3902032,S0039,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,50,1,3,medium,1.25,uniform,short,moderate,1649.5340613697758,4096.301712808245,4595.172971048479,59.73113854841206,64.10289510835537,Win,Win,1.485128402709961,10.379505395889282,5.819725751876831,5,5,4,0.1,0.1,0.08,0.0,226.1528404744057,313.85826764654206
S0039_R07,3902033,S0039,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,50,1,3,medium,1.25,uniform,short,moderate,1645.810015402702,1242.134466963322,2086.1333536471466,-32.49853853796167,21.107152017613632,Loss,Win,2.375382900238037,4.657870054244995,3.85927152633667,3,3,3,0.06,0.06,0.06,0.0,7.717597822112193,7.717597822112193
S0039_R08,3902034,S0039,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,50,1,3,medium,1.25,uniform,short,moderate,3685.3816113293374,4039.4170106122815,5808.10098051959,8.764517215054275,36.54756307285062,Win,Win,3.239445447921753,4.310823678970337,3.740973472595215,3,3,2,0.06,0.06,0.04,0.0,55.88510610676583,91.4839461353706
S0039_R09,3902035,S0039,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,50,1,3,medium,1.25,uniform,short,moderate,3941.527101437803,6419.705740484445,14900.11343638366,38.60268272762971,73.5469993683858,Win,Win,6.726465225219727,62.86847448348999,5.479085683822632,4,4,1,0.08,0.08,0.02,0.0,2.975010998111969,56.75165401377087
S0039_R10,3902036,S0039,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,50,1,3,medium,1.25,uniform,short,moderate,1897.5501880332563,4347.37198274646,1980.0435089765344,56.3517868826473,4.166237790699769,Win,Win,2.2168984413146973,15.251914739608765,15.374274969100952,6,4,7,0.12,0.08,0.14,0.0,47.37841808603961,112.8082912494754
S0040_R01,4002027,S0040,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,1,3,medium,2.0,uniform,medium,base,12460.24723320915,12507.753317397208,21620.64549993311,0.3798130885902724,42.368754747642946,Win,Win,1.9301109313964844,20.105458974838257,7.918632030487059,6,6,8,0.12,0.12,0.16,0.0,47.50608418805855,163.07725505906168
S0040_R02,4002028,S0040,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,1,3,medium,2.0,uniform,medium,base,20373.314316092103,19478.13244331725,15098.538806997472,-4.59583009500473,-34.93566878571069,Loss,Loss,1.5748653411865234,12.948307275772097,10.540393352508543,5,5,5,0.1,0.1,0.1,0.0,50.76234469832503,276.6218605723601
S0040_R03,4002029,S0040,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,1,3,medium,2.0,uniform,medium,base,10037.251717978492,10325.506231013364,17872.801701621975,2.7916743894752547,43.84063626091929,Win,Win,1.637174367904663,13.904707908630373,10.11917495727539,6,6,6,0.12,0.12,0.12,0.0,156.12157031174894,169.9070939865486
S0040_R04,4002030,S0040,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,1,3,medium,2.0,uniform,medium,base,6775.088087635854,17723.878792301522,74480.49455789996,61.7742359500977,90.90354041302852,Win,Win,5.980137825012207,130.56898713111875,5.705623865127564,9,5,4,0.18,0.1,0.08,0.0,1.170511128285006,74.87600037727927
S0040_R05,4002031,S0040,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,1,3,medium,2.0,uniform,medium,base,3043.123683199011,3210.0001065319498,30069.566966089344,5.198642298901055,89.87972228987913,Win,Win,1.5816264152526855,22.420570611953732,3.483292818069458,6,6,9,0.12,0.12,0.18,0.0,166.87642333293877,90.48725138732522
S0040_R06,4002032,S0040,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,1,3,medium,2.0,uniform,medium,base,15835.173571949208,23799.01219465393,36063.75938126591,33.46289567637463,56.09117340058806,Win,Win,3.4070911407470703,21.3820698261261,6.042399168014526,6,6,7,0.12,0.12,0.14,0.0,20.96812939879628,134.0502245027446
S0040_R07,4002033,S0040,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,1,3,medium,2.0,uniform,medium,base,26140.381384320463,30651.239866591568,23275.005455765688,14.716724354070038,-12.310957065081862,Win,Loss,1.4148969650268557,7.365702152252197,4.72988748550415,5,4,4,0.1,0.08,0.08,0.0,147.83213571572512,231.51043611940983
S0040_R08,4002034,S0040,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,1,3,medium,2.0,uniform,medium,base,7570.925186767056,4828.806467504299,24008.37373074404,-56.78667674333164,68.46548095395535,Loss,Win,6.555859565734863,21.66109085083008,5.49720311164856,7,10,4,0.14,0.2,0.08,0.0,132.1106772965664,311.9165424690904
S0040_R09,4002035,S0040,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,1,3,medium,2.0,uniform,medium,base,26416.859774909168,32719.81930148601,52549.39633132138,19.263430120136963,49.72947051883878,Win,Win,1.9116909503936768,14.237271308898926,8.473146200180054,6,6,8,0.12,0.12,0.16,0.0,112.49099013200536,182.8208004978905
S0040_R10,4002036,S0040,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,1,3,medium,2.0,uniform,medium,base,46066.09064116544,51312.75357509449,43665.09519919407,10.224871144852381,-5.498660728937771,Win,Loss,4.814184188842773,15.512449502944946,8.277965307235718,7,7,6,0.14,0.14,0.12,0.0,153.817156186138,93.51695988894689
S0041_R01,4102027,S0041,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.10,50,2,3,high,1.25,clustered,short,base,940.0915071973,37046.77247055246,12893.99409111498,97.46241995049756,92.70907446866988,Win,Win,5.647677421569824,162.45482683181763,184.7183063030243,24,3,8,0.48,0.06,0.16,0.0,201.99809577531488,201.0482306924469
S0041_R02,4102028,S0041,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.10,50,2,3,high,1.25,clustered,short,base,1959.8776558987088,26578.58458272779,8963.568413695642,92.62610222979164,78.13507338322798,Win,Win,6.830622673034668,154.8780128955841,179.0644805431366,24,3,8,0.48,0.06,0.16,0.0,146.5763476203636,86.31262935534133
S0041_R03,4102029,S0041,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.10,50,2,3,high,1.25,clustered,short,base,71.89518705628694,23416.53108812238,5964.614964535835,99.69297251251379,98.79463825437588,Win,Win,7.674014091491699,142.73537802696228,195.43952584266663,12,2,8,0.24,0.04,0.16,0.0,217.41078272823432,183.05609033016796
S0041_R04,4102030,S0041,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.10,50,2,3,high,1.25,clustered,short,base,66.37165489724639,4061.919367103053,182.17284407832767,98.3660026480392,63.56665822886917,Win,Win,6.229794025421143,159.6547269821167,211.1296029090881,10,3,7,0.2,0.06,0.14,0.0,114.7375207487048,108.83572909208476
S0041_R05,4102031,S0041,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.10,50,2,3,high,1.25,clustered,short,base,104.6770350685085,19776.829136723634,12689.65048244722,99.4707087048948,99.17509914703086,Win,Win,5.804848909378052,151.4665699005127,173.81660389900208,21,3,8,0.42,0.06,0.16,0.0,112.67842056960708,188.09656816475035
S0041_R06,4102032,S0041,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.10,50,2,3,high,1.25,clustered,short,base,73.71508781869474,5407.865740031812,620.3621053322065,98.63689131050317,88.11740962494477,Win,Win,6.658689737319946,159.8920693397522,186.4897413253784,20,3,9,0.4,0.06,0.18,0.0,104.42128230343602,317.25043932506287
S0041_R07,4102033,S0041,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.10,50,2,3,high,1.25,clustered,short,base,77.88274624245899,3414.859322754927,255.87565599392295,97.71929854552172,69.56226807121162,Win,Win,6.032371282577515,142.8725128173828,132.4337956905365,24,3,9,0.48,0.06,0.18,0.0,82.36613784697535,150.28139040432848
S0041_R08,4102034,S0041,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.10,50,2,3,high,1.25,clustered,short,base,112.14961762808912,20724.54639556513,10512.404204132348,99.45885610479712,98.93316870764916,Win,Win,5.3797454833984375,153.3989336490631,173.25429368019104,10,3,8,0.2,0.06,0.16,0.0,230.3423166264996,98.11662091821084
S0041_R09,4102035,S0041,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.10,50,2,3,high,1.25,clustered,short,base,516.3258493249914,32540.47965920176,15865.633681578054,98.4132813814286,96.74563361484573,Win,Win,5.11465311050415,151.1567461490631,187.82242441177368,24,3,9,0.48,0.06,0.18,0.0,121.341147827179,165.63153213470332
S0041_R10,4102036,S0041,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.10,50,2,3,high,1.25,clustered,short,base,119.61798135741144,9359.259345967015,3906.613392111034,98.72192898032091,96.93806452414856,Win,Win,4.843964338302612,149.1933286190033,152.56874990463257,23,3,10,0.46,0.06,0.2,0.0,220.69603062214156,200.50675955549
S0042_R01,4202027,S0042,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.10,50,2,3,high,1.25,clustered,short,strict,4665.97393871671,37014.36715161383,1389.8457407195187,87.3941544924853,-235.7188356961939,Win,Loss,7.741009950637817,167.4859974384308,178.4433822631836,24,3,9,0.48,0.06,0.18,0.0,98.09169019138776,157.87570736961018
S0042_R02,4202028,S0042,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.10,50,2,3,high,1.25,clustered,short,strict,79.26425887949763,587.7110494258901,5677.357489906734,86.51305621071316,98.60385295411793,Win,Win,5.310399293899536,151.4683735370636,178.46943521499634,11,3,15,0.22,0.06,0.3,0.0,91.91587605383349,152.2506857663567
S0042_R03,4202029,S0042,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.10,50,2,3,high,1.25,clustered,short,strict,72.19636674157445,34929.628894083755,26372.89082436588,99.79330909308972,99.72624780793893,Win,Win,5.992784261703491,158.65538144111633,178.29492259025574,14,3,8,0.28,0.06,0.16,0.0,90.94419418238184,72.55185638957902
S0042_R04,4202030,S0042,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.10,50,2,3,high,1.25,clustered,short,strict,10991.872403163376,34848.483466670834,1402.2600642931409,68.45810402717804,-683.8683196546868,Win,Loss,5.054507493972778,147.7777636051178,168.45714664459229,21,3,8,0.42,0.06,0.16,0.0,149.93877882095774,321.6166849640476
S0042_R05,4202031,S0042,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.10,50,2,3,high,1.25,clustered,short,strict,91.96332776412498,39954.348164415394,39781.04468858259,99.76982898735905,99.76882626264835,Win,Win,5.003376007080078,153.99071383476257,178.28044486045837,22,3,8,0.44,0.06,0.16,0.0,139.76709893286488,284.8007588543403
S0042_R06,4202032,S0042,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.10,50,2,3,high,1.25,clustered,short,strict,855.4800005587043,26319.95094203242,3344.206416464208,96.74968998824188,74.41904314437642,Win,Win,6.610741853713989,159.75175952911377,182.2255547046661,22,3,9,0.44,0.06,0.18,0.0,83.98874117456224,32.17786049740503
S0042_R07,4202033,S0042,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.10,50,2,3,high,1.25,clustered,short,strict,87.76195275932616,5262.854604747875,565.4214150402318,98.3324268035041,84.47848800472448,Win,Win,6.110912322998047,154.9639024734497,165.17128014564514,16,3,10,0.32,0.06,0.2,0.0,90.57740675590514,206.06224701781832
S0042_R08,4202034,S0042,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.10,50,2,3,high,1.25,clustered,short,strict,118.01163330531416,33241.50027727255,17213.047096467675,99.64498704233876,99.31440591172534,Win,Win,6.458231687545776,153.33755111694336,149.53266668319702,15,3,7,0.3,0.06,0.14,0.0,189.21821627882832,283.1585075375208
S0042_R09,4202035,S0042,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.10,50,2,3,high,1.25,clustered,short,strict,2081.180986138676,24223.035119879853,12406.63168096457,91.40825674471053,83.22525372191213,Win,Win,6.305464744567871,154.95499229431152,180.38655161857605,24,3,9,0.48,0.06,0.18,0.0,88.71861102053838,106.250612925194
S0042_R10,4202036,S0042,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.10,50,2,3,high,1.25,clustered,short,strict,77.78337701682494,4988.622452448953,1101.4242782333883,98.44078444985068,92.93792786721713,Win,Win,5.092580080032349,156.22844433784485,184.26247787475583,12,3,9,0.24,0.06,0.18,0.0,190.78985951598133,228.45283411420112
