rho,source_model,evaluation_model,source_y_json,source_z_json,source_w_json,evaluation_model_benchmark,road_reoptimized_objective,road_regret,road_regret_percent,complete_plan_objective,complete_plan_regret,complete_plan_regret_percent,capability_feasible,infeasible_design_basis_state_count,maximum_oracle_gap,regret_divided_by_m4_policy_margin,regret_divided_by_oracle_tolerance,regret_status,complete_regret_status,source_plan_own_capability_feasible
0.1,M1,M3,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423043,0.0,82.5985028576957]",1157.0148981268576,1157.0148981268578,2.2737367544323206e-13,1.9651750017336623e-14,1159.0744337504048,2.0595356235471627,0.17800424410104276,True,0,4.547473508864641e-13,1.0886934804392033e-13,2.2737367544323203e-08,numerically_zero,below_policy_margin,True
0.1,M1,M4,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,550.7314971423043,0.0,82.5985028576957]",1159.7102992138502,1159.7102992138502,0.0,0.0,1161.7875996828434,2.077300468993144,0.17912236102424148,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,above_policy_margin,True
0.1,M2,M0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223982,0.0,96.98202567760188]",937.1267551597502,937.1267551597496,0.0,0.0,938.0944316151968,0.967676455446508,0.10325993256713176,True,0,5.684341886080801e-13,0.0,0.0,numerically_zero,below_policy_margin,True
0.1,M2,M1,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223982,0.0,96.98202567760188]",937.133591212042,937.1335912120422,2.2737367544323206e-13,2.4262674775018817e-14,938.0985158771829,0.9649246651408703,0.10296554025908779,True,0,5.684341886080801e-13,1.1341696766210961e-13,2.2737367544323203e-08,numerically_zero,below_policy_margin,True
0.1,M2,M2,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223982,0.0,96.98202567760188]",1157.014275137994,1157.0142751379947,6.821210263296962e-13,5.895528179618539e-14,1157.014275137994,0.0,0.0,True,0,6.821210263296962e-13,3.270896876186408e-13,6.821210263296962e-08,numerically_zero,numerically_zero,True
0.1,M2,M3,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223982,0.0,96.98202567760188]",1157.0148981268576,1157.0148981268578,2.2737367544323206e-13,1.9651750017336623e-14,1157.0148981268574,0.0,0.0,True,0,4.547473508864641e-13,1.0886934804392033e-13,2.2737367544323203e-08,numerically_zero,numerically_zero,True
0.1,M2,M4,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223982,0.0,96.98202567760188]",1159.7102992138502,1159.7102992138502,0.0,0.0,1159.71029921385,0.0,0.0,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,numerically_zero,True
0.1,M3,M0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223965,0.0,96.9820256776036]",937.1267551597502,937.1267551597496,0.0,0.0,938.0944316151979,0.9676764554476449,0.10325993256725308,True,0,5.684341886080801e-13,0.0,0.0,numerically_zero,below_policy_margin,True
0.1,M3,M1,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223965,0.0,96.9820256776036]",937.133591212042,937.1335912120422,2.2737367544323206e-13,2.4262674775018817e-14,938.0985158771839,0.9649246651418935,0.10296554025919696,True,0,5.684341886080801e-13,1.1341696766210961e-13,2.2737367544323203e-08,numerically_zero,below_policy_margin,True
0.1,M3,M2,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223965,0.0,96.9820256776036]",1157.014275137994,1157.0142751379947,6.821210263296962e-13,5.895528179618539e-14,1157.0142751379944,4.547473508864641e-13,3.930352119745693e-14,True,0,6.821210263296962e-13,3.270896876186408e-13,6.821210263296962e-08,numerically_zero,numerically_zero,True
0.1,M3,M3,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223965,0.0,96.9820256776036]",1157.0148981268576,1157.0148981268578,2.2737367544323206e-13,1.9651750017336623e-14,1157.0148981268576,0.0,0.0,True,0,4.547473508864641e-13,1.0886934804392033e-13,2.2737367544323203e-08,numerically_zero,numerically_zero,True
0.1,M3,M4,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223965,0.0,96.9820256776036]",1159.7102992138502,1159.7102992138502,0.0,0.0,1159.7102992138502,0.0,0.0,True,0,9.094947017729282e-13,0.0,0.0,numerically_zero,numerically_zero,True
0.1,M4,M0,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.9820256776026]",937.1267551597502,937.1267551597496,0.0,0.0,938.0944316151973,0.9676764554470765,0.10325993256719242,True,0,5.684341886080801e-13,0.0,0.0,numerically_zero,below_policy_margin,True
0.1,M4,M1,"[0.25,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,536.3479743223975,0.0,96.9820256776026]",937.133591212042,937.1335912120422,2.2737367544323206e-13,2.4262674775018817e-14,938.0985158771833,0.964924665141325,0.10296554025913632,True,0,5.684341886080801e-13,1.1341696766210961e-13,2.2737367544323203e-08,numerically_zero,below_policy_margin,True
