instance_id,scenario_id,n,pair_feasible,objective_for_reporting_nils,objective_for_reporting_feasibility_aware_alns,objective_diff_nils_minus_alns,nils_improvement_vs_alns_pct,cpu_time_seconds_nils,cpu_time_seconds_feasibility_aware_alns,winner
S0012_R01,S0012,15,True,158.66981679769603,2470.669470995493,-2311.999654197797,93.57786143956504,0.1919629573822021,5.471930980682373,nils
S0012_R02,S0012,15,True,8751.667793925168,14668.604545765458,-5916.9367518402905,40.33742087312863,0.1712026596069336,7.050275564193726,nils
S0012_R03,S0012,15,True,2414.0652959853114,6104.40982075138,-3690.3445247660684,60.45374791550006,0.1640582084655761,6.4248576164245605,nils
S0012_R04,S0012,15,True,3763.6431966569626,15585.841152630908,-11822.197955973945,75.85216505288419,0.2181413173675537,7.245675086975098,nils
S0012_R05,S0012,15,True,157.37670922154732,8272.689458557295,-8115.312749335748,98.09763547864405,0.2020158767700195,5.7693071365356445,nils
S0012_R06,S0012,15,True,134.64399165013552,138.99740969629912,-4.353418046163597,3.132013794843768,0.3360188007354736,6.822516679763794,nils
S0012_R07,S0012,15,True,103.57410833371618,115.99443988975084,-12.420331556034654,10.70769561699664,0.2942290306091308,7.42127537727356,nils
S0012_R08,S0012,15,True,1129.0137163016452,6059.513966757057,-4930.500250455411,81.36791626365583,0.161609411239624,6.521429300308228,nils
S0012_R09,S0012,15,True,94.2638812573277,94.2638812573277,0.0,0.0,0.11271333694458,5.28073263168335,tie
S0012_R10,S0012,15,True,129.55593666167312,131.0770220729946,-1.5210854113214793,1.1604516087300278,0.2513751983642578,7.708855628967285,nils
S0013_R01,S0013,15,True,48.78437413549245,46.42824286029753,2.356131275194919,-5.074780198519492,0.3546721935272217,6.599869728088379,alns
S0013_R02,S0013,15,True,54.59678390394686,51.7516273047134,2.845156599233455,-5.497714269893743,0.2368388175964355,5.825635671615601,alns
S0013_R03,S0013,15,True,56.09446563693288,46.10360748508302,9.990858151849864,-21.67044770863634,0.2541320323944092,6.694457054138184,alns
S0013_R04,S0013,15,True,48.703981529123126,50.3700739551112,-1.6660924259880758,3.3077029576586763,0.2531123161315918,7.184020042419434,nils
S0013_R05,S0013,15,True,48.814210335898416,45.50562776272011,3.308582573178306,-7.270710757865468,0.2024033069610595,7.69002628326416,alns
S0013_R06,S0013,15,True,52.9809222814936,52.96763827281261,0.013284008680990667,-0.025079480819157316,0.2304036617279052,6.004563093185425,alns
S0013_R07,S0013,15,True,55.18927519657836,53.54552003786834,1.6437551587100145,-3.0698276112502443,0.2156622409820556,6.542898654937744,alns
S0013_R08,S0013,15,True,47.46723038314938,46.7073128695338,0.7599175136155765,-1.6269775907216761,0.2157518863677978,7.925170421600342,alns
