instance_id,random_seed,method_name,scenario_id,scenario_class,n,eligible_share,eligible_share_target,number_of_drones,number_of_trucks,endurance_level,speed_ratio,spatial_pattern,launch_retrieval_time_class,priority_weight_profile,battery_slack_ratio,priority_weight_high,priority_weight_medium,priority_weight_low,depot_position,objective_total,truck_travel_cost,drone_travel_cost,waiting_sync_cost,penalty_cost,priority_tardiness_cost,high_priority_tardiness_minutes,medium_priority_tardiness_minutes,low_priority_tardiness_minutes,total_priority_tardiness_minutes,high_priority_tardiness_weighted_cost,medium_priority_tardiness_weighted_cost,low_priority_tardiness_weighted_cost,fixed_deployment_cost,makespan_minutes,truck_route_distance_km,drone_flight_distance_km,customers_served_by_truck,customers_served_by_drone,drone_service_share,number_of_drone_launches,number_of_drone_retrievals,average_customers_per_drone_sortie,average_customers_per_drone_route,total_truck_waiting_time,total_drone_waiting_time,average_synchronization_delay,maximum_synchronization_delay,delayed_rendezvous_events,average_battery_usage_ratio,maximum_battery_usage_ratio,sorties_near_endurance_limit,infeasible_battery_attempts_rejected,eligible_not_assigned_due_battery,cpu_time_seconds,iterations,improving_moves_accepted,candidate_reassignments_evaluated,final_solution_feasibility_flag,status,run_label
S0034_R03,3402029,feasibility_aware_alns,S0034,n50_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.10,50,0.76,0.75,1,3,low,1.25,uniform,short,strict,0.1,200.0,40.0,1.0,peripheral,26147.54796251946,224.79828135406572,0.0,0.0,25922.749681165395,25922.749681165395,119.28757004986198,51.63089177982492,0.0,170.91846182968692,23857.5140099724,2065.235671192997,0.0,0.0,202.3429812848451,280.9978516925823,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,10.253400087356567,1.0,0.0,0.0,True,feasible,benchmark_feasibility_aware_alns
S0034_R04,3402030,feasibility_aware_alns,S0034,n50_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.10,50,0.76,0.75,1,3,low,1.25,uniform,short,strict,0.1,200.0,40.0,1.0,peripheral,75008.23756933898,209.38821094485456,0.0,0.0,74798.84935839412,74798.84935839412,348.9133094473424,125.40468672314104,0.0,474.31799617048335,69782.66188946847,5016.187468925641,0.0,0.0,250.4800895217213,261.7352636810682,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,10.297606229782104,1.0,0.0,0.0,True,feasible,benchmark_feasibility_aware_alns
S0034_R05,3402031,feasibility_aware_alns,S0034,n50_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.10,50,0.76,0.75,1,3,low,1.25,uniform,short,strict,0.1,200.0,40.0,1.0,peripheral,59543.07848248102,234.0777802547353,0.0,0.0,59309.00070222628,59309.00070222628,284.2972555777905,61.23873966670442,0.0,345.5359952444949,56859.4511155581,2449.5495866681767,0.0,0.0,194.6876046109015,292.597225318419,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,10.17524766921997,1.0,0.0,0.0,True,feasible,benchmark_feasibility_aware_alns
S0034_R06,3402032,feasibility_aware_alns,S0034,n50_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.10,50,0.76,0.75,1,3,low,1.25,uniform,short,strict,0.1,200.0,40.0,1.0,peripheral,88615.99673729506,220.2323918334829,0.0,0.0,88395.76434546158,88395.76434546158,402.7812541407424,195.9878379328275,0.0,598.7690920735698,80556.25082814848,7839.513517313099,0.0,0.0,242.25923245176853,275.29048979185364,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,10.24207353591919,1.0,0.0,0.0,True,feasible,benchmark_feasibility_aware_alns
S0034_R07,3402033,feasibility_aware_alns,S0034,n50_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.10,50,0.76,0.75,1,3,low,1.25,uniform,short,strict,0.1,200.0,40.0,1.0,peripheral,33390.683391916835,227.8400330626744,0.0,0.0,33162.84335885416,33162.84335885416,155.0659935400851,53.741116270928686,0.0,208.8071098110138,31013.19870801702,2149.6446508371478,0.0,0.0,217.1551750102415,284.80004132834296,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,10.199830055236816,1.0,0.0,0.0,True,feasible,benchmark_feasibility_aware_alns
S0034_R08,3402034,feasibility_aware_alns,S0034,n50_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.10,50,0.76,0.75,1,3,low,1.25,uniform,short,strict,0.1,200.0,40.0,1.0,peripheral,63114.38553404605,237.83147758998044,0.0,0.0,62876.55405645607,62876.55405645607,302.22679535886414,60.77987461708118,0.0,363.0066699759453,60445.35907177283,2431.194984683247,0.0,0.0,203.8424122360731,297.28934698747554,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,10.159403324127195,1.0,0.0,0.0,True,feasible,benchmark_feasibility_aware_alns
S0034_R09,3402035,feasibility_aware_alns,S0034,n50_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.10,50,0.76,0.75,1,3,low,1.25,uniform,short,strict,0.1,200.0,40.0,1.0,peripheral,111481.2762576282,232.7627216522417,0.0,0.0,111248.51353597596,111248.51353597596,502.723072918844,267.5974738051792,0.0,770.3205467240232,100544.6145837688,10703.898952207168,0.0,0.0,239.7158760864704,290.95340206530216,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,10.358121633529665,1.0,0.0,0.0,True,feasible,benchmark_feasibility_aware_alns
S0034_R10,3402036,feasibility_aware_alns,S0034,n50_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.10,50,0.76,0.75,1,3,low,1.25,uniform,short,strict,0.1,200.0,40.0,1.0,peripheral,66454.27300722494,272.88979182070165,0.0,0.0,66181.38321540423,66181.38321540423,306.2482015207407,123.2935727814026,0.0,429.54177430214327,61249.64030414814,4931.742911256104,0.0,0.0,259.7492572584314,341.1122397758772,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,10.265847206115724,1.0,0.0,0.0,True,feasible,benchmark_feasibility_aware_alns
S0035_R01,3502027,feasibility_aware_alns,S0035,n50_p0.75_d1_clustered_Elow_V1.25_Hmedium_PWflat_B0.10,50,0.76,0.75,1,3,low,1.25,clustered,medium,flat,0.1,1.0,1.0,1.0,peripheral,981.252181737974,71.17671457706965,0.0,0.0,910.0754671609044,910.0754671609044,757.1391682516135,152.93629890929105,0.0,910.0754671609044,757.1391682516135,152.93629890929105,0.0,0.0,205.3301988102056,88.97089322133704,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,12.642916917800903,1.0,0.0,0.0,True,feasible,benchmark_feasibility_aware_alns
S0035_R02,3502028,feasibility_aware_alns,S0035,n50_p0.75_d1_clustered_Elow_V1.25_Hmedium_PWflat_B0.10,50,0.76,0.75,1,3,low,1.25,clustered,medium,flat,0.1,1.0,1.0,1.0,peripheral,501.461643261787,70.26276069519392,0.0,0.0,431.1988825665931,431.1988825665931,314.79478182580704,116.40410074078608,0.0,431.1988825665931,314.79478182580704,116.40410074078608,0.0,0.0,197.7508307084817,87.82845086899243,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,12.52687168121338,1.0,0.0,0.0,True,feasible,benchmark_feasibility_aware_alns
