instance_id,random_seed,method_name,scenario_id,scenario_class,n,eligible_share,eligible_share_target,number_of_drones,number_of_trucks,endurance_level,speed_ratio,spatial_pattern,launch_retrieval_time_class,priority_weight_profile,battery_slack_ratio,priority_weight_high,priority_weight_medium,priority_weight_low,depot_position,objective_total,truck_travel_cost,drone_travel_cost,waiting_sync_cost,penalty_cost,priority_tardiness_cost,high_priority_tardiness_minutes,medium_priority_tardiness_minutes,low_priority_tardiness_minutes,total_priority_tardiness_minutes,high_priority_tardiness_weighted_cost,medium_priority_tardiness_weighted_cost,low_priority_tardiness_weighted_cost,fixed_deployment_cost,makespan_minutes,truck_route_distance_km,drone_flight_distance_km,customers_served_by_truck,customers_served_by_drone,drone_service_share,number_of_drone_launches,number_of_drone_retrievals,average_customers_per_drone_sortie,average_customers_per_drone_route,total_truck_waiting_time,total_drone_waiting_time,average_synchronization_delay,maximum_synchronization_delay,delayed_rendezvous_events,average_battery_usage_ratio,maximum_battery_usage_ratio,sorties_near_endurance_limit,infeasible_battery_attempts_rejected,eligible_not_assigned_due_battery,cpu_time_seconds,iterations,improving_moves_accepted,candidate_reassignments_evaluated,final_solution_feasibility_flag,status,run_label,truck_only_objective,truck_only_distance,simple_drone_objective,improvement_vs_truck_only_pct,improvement_vs_simple_drone_pct,truck_distance_reduction_pct,is_feasible_run,reporting_policy,reporting_penalty_value,objective_for_reporting,reporting_included,truck_only_objective_reported,simple_drone_objective_reported,improvement_vs_truck_only_reported_pct,improvement_vs_simple_drone_reported_pct
S0004_R01,402027,nils,S0004,n15_p0.75_d1_uniform_Ehigh_V1.25_Hshort_PWmoderate_B0.10,15,0.7333333333333333,0.75,1,3,high,1.25,uniform,short,moderate,0.1,20.0,5.0,1.0,peripheral,158.23511683978447,142.03893810617865,16.19617873360583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.3596914666891,177.5486726327233,53.987262445352776,9,6,0.4,1,1,6.0,6.0,0.0,0.0,0.0,0.0,0,0.8964335876344707,0.8964335876344707,0,32,32,0.16525721549987793,12.0,9.0,52.0,True,feasible,nils_complete,3138.1045625326665,199.64197559825308,3138.1045625326665,94.95762127466912,94.95762127466912,11.066461799591156,True,feasible_only,0.0,158.23511683978447,True,3138.1045625326665,3138.1045625326665,94.95762127466912,94.95762127466912
S0004_R01,402027,nils_no_local_search,S0004,n15_p0.75_d1_uniform_Ehigh_V1.25_Hshort_PWmoderate_B0.10,15,0.7333333333333333,0.75,1,3,high,1.25,uniform,short,moderate,0.1,20.0,5.0,1.0,peripheral,1000.0890395423638,141.72437583110678,16.488555690151927,0.0,841.8761080211051,841.8761080211051,144.9948250867805,0.0,0.0,144.9948250867805,2899.8965017356104,0.0,0.0,0.0,174.55649226883364,177.15546978888347,54.96185230050643,11,4,0.26666666666666666,1,1,4.0,4.0,0.0,0.0,0.0,0.0,0,0.8648388059304215,0.8648388059304215,0,56,56,0.5911455154418945,12.0,4.0,38.0,True,feasible,ablation_no_local_search,3138.1045625326665,199.64197559825308,3138.1045625326665,68.13079297984821,68.13079297984821,11.263415793189727,True,feasible_only,0.0,1000.0890395423638,True,3138.1045625326665,3138.1045625326665,68.13079297984821,68.13079297984821
S0004_R01,402027,nils_no_perturbation,S0004,n15_p0.75_d1_uniform_Ehigh_V1.25_Hshort_PWmoderate_B0.10,15,0.7333333333333333,0.75,1,3,high,1.25,uniform,short,moderate,0.1,20.0,5.0,1.0,peripheral,537.0718934090856,109.51381701879876,16.19617873360583,0.0,411.3618976566811,411.3618976566811,20.568094882834053,0.0,0.0,20.568094882834053,411.3618976566811,0.0,0.0,0.0,138.47935898183968,136.8922712734985,53.987262445352776,9,6,0.4,1,1,6.0,6.0,0.0,0.0,0.0,0.0,0,0.8964335876344707,0.8964335876344707,0,37,37,0.14144086837768555,12.0,6.0,44.0,True,feasible,ablation_no_perturbation,3138.1045625326665,199.64197559825308,3138.1045625326665,82.88546851429221,82.88546851429221,31.43111769792748,True,feasible_only,0.0,537.0718934090856,True,3138.1045625326665,3138.1045625326665,82.88546851429221,82.88546851429221
S0005_R01,502027,truck_only,S0005,n50_p0.25_d1_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,50,0.24,0.25,1,3,medium,2.0,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,132523.67217758857,365.67054756769005,0.0,0.0,132158.00163002088,132158.00163002088,1213.058501490743,541.7603576965156,16.94432701625192,1771.7631862035105,121305.85014907431,10835.207153930312,16.94432701625192,0.0,337.23863616184866,457.08818445961253,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.43915843963623047,0.0,0.0,0.0,True,feasible,baseline_truck_only,132523.67217758857,457.08818445961253,133046.88673722825,,,0.0,True,feasible_only,0.0,132523.67217758857,True,132523.67217758857,133046.88673722825,,
S0005_R01,502027,simple_drone,S0005,n50_p0.25_d1_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,50,0.24,0.25,1,3,medium,2.0,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,133046.88673722825,365.67054756769005,0.0,0.0,132681.21618966057,132681.21618966057,1217.406544922652,546.1084011284245,18.39367482688823,1781.9086208779647,121740.65449226521,10922.16802256849,18.39367482688823,0.0,338.687983972485,457.08818445961253,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,2.3512303829193115,0.0,0.0,0.0,True,feasible,baseline_simple_drone,132523.67217758857,457.08818445961253,133046.88673722825,-0.3948083772826285,,0.0,True,feasible_only,0.0,133046.88673722825,True,132523.67217758857,133046.88673722825,-0.3948083772826285,
S0005_R01,502027,paired_baseline,S0005,n50_p0.25_d1_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,50,0.24,0.25,1,3,medium,2.0,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,41430.20651093144,215.4496672833349,19.884541828277076,235.84002990198806,40959.032271917844,40959.032271917844,402.30373936692945,36.432916761244954,0.0,438.7366561281744,40230.373936692944,728.658335224899,0.0,0.0,197.7414383625188,269.31208410416866,66.28180609425692,47,3,0.06,1,2,3.0,3.0,0.0,235.84002990198806,78.61334330066269,101.96591696310898,3,0.8669207739912753,0.8669207739912753,0,34,34,2.0145320892333984,11.0,2.0,297.0,True,feasible,baseline_paired,132523.67217758857,457.08818445961253,133046.88673722825,68.73750490749093,68.8604464734621,41.08093508858474,True,feasible_only,0.0,41430.20651093144,True,132523.67217758857,133046.88673722825,68.73750490749093,68.8604464734621
S0005_R01,502027,no_unpairing,S0005,n50_p0.25_d1_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,50,0.24,0.25,1,3,medium,2.0,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,38537.48266716544,213.80824059625064,19.07492066059764,148.42067483310157,38156.17883107549,38156.17883107549,377.70856820785406,19.266100514504345,0.0,396.9746687223584,37770.856820785404,385.3220102900869,0.0,0.0,189.15183766333536,267.2603007453133,63.5830688686588,44,6,0.12,4,4,1.5,6.0,0.0,148.42067483310157,18.552584354137696,102.21133563989211,2,0.8938241342295918,0.8938241342295918,0,334,334,7.166388988494873,6.0,6.0,2168.0,True,feasible,baseline_no_unpairing,132523.67217758857,457.08818445961253,133046.88673722825,70.92030273993372,71.03466032746925,41.52981638296364,True,feasible_only,0.0,38537.48266716544,True,132523.67217758857,133046.88673722825,70.92030273993372,71.03466032746925
S0005_R01,502027,nils,S0005,n50_p0.25_d1_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,50,0.24,0.25,1,3,medium,2.0,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,37363.606849431926,211.17059344155754,19.07492066059764,0.0,37133.36133532977,37133.36133532977,367.48039325039684,19.266100514504345,0.0,386.7464937649012,36748.03932503968,385.3220102900869,0.0,0.0,189.15183766333536,263.96324180194694,63.5830688686588,44,6,0.12,1,1,6.0,6.0,0.0,0.0,0.0,0.0,0,0.8938241342295918,0.8938241342295918,0,50,50,1.5353634357452393,12.0,6.0,43.0,True,feasible,nils_complete,132523.67217758857,457.08818445961253,133046.88673722825,71.80608850065461,71.91696268457133,42.251134293918675,True,feasible_only,0.0,37363.606849431926,True,132523.67217758857,133046.88673722825,71.80608850065461,71.91696268457133
S0005_R01,502027,nils_no_local_search,S0005,n50_p0.25_d1_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,50,0.24,0.25,1,3,medium,2.0,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,93248.2962227422,334.57023338804925,19.15999360710942,0.0,92894.56599574703,92894.56599574703,858.922834520688,350.114127183912,0.0,1209.0369617046,85892.28345206879,7002.28254367824,0.0,0.0,315.34011808989834,418.2127917350614,63.8666453570314,44,6,0.12,1,1,6.0,6.0,0.0,0.0,0.0,0.0,0,0.8978752269206293,0.8978752269206293,0,52,52,1.1307265758514404,12.0,7.0,41.0,True,feasible,ablation_no_local_search,132523.67217758857,457.08818445961253,133046.88673722825,29.636498377599544,29.913206908095127,8.505009327797687,True,feasible_only,0.0,93248.2962227422,True,132523.67217758857,133046.88673722825,29.636498377599544,29.913206908095127
S0005_R01,502027,nils_no_perturbation,S0005,n50_p0.25_d1_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,50,0.24,0.25,1,3,medium,2.0,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,38389.06199233234,213.80824059625064,19.07492066059764,0.0,38156.17883107549,38156.17883107549,377.70856820785406,19.266100514504345,0.0,396.9746687223584,37770.856820785404,385.3220102900869,0.0,0.0,189.15183766333536,267.2603007453133,63.5830688686588,44,6,0.12,1,1,6.0,6.0,0.0,0.0,0.0,0.0,0,0.8938241342295918,0.8938241342295918,0,50,50,0.9929018020629883,12.0,6.0,43.0,True,feasible,ablation_no_perturbation,132523.67217758857,457.08818445961253,133046.88673722825,71.03229833467864,71.14621549307506,41.52981638296364,True,feasible_only,0.0,38389.06199233234,True,132523.67217758857,133046.88673722825,71.03229833467864,71.14621549307506
S0006_R01,602027,truck_only,S0006,n50_p0.25_d2_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,0.24,0.25,2,3,medium,2.0,uniform,medium,base,0.1,100.0,20.0,1.0,peripheral,81578.02625041839,355.4338559053876,0.0,0.0,81222.592394513,81222.592394513,647.321659155752,822.4040580641002,42.34531765579962,1512.0710348756518,64732.16591557519,16448.081161282003,42.34531765579962,0.0,301.24421008482466,444.2923198817343,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.06437110900878906,0.0,0.0,0.0,True,feasible,baseline_truck_only,81578.02625041839,444.2923198817343,81578.02625041839,,,0.0,True,feasible_only,0.0,81578.02625041839,True,81578.02625041839,81578.02625041839,,
S0006_R01,602027,simple_drone,S0006,n50_p0.25_d2_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,0.24,0.25,2,3,medium,2.0,uniform,medium,base,0.1,100.0,20.0,1.0,peripheral,81578.02625041839,355.4338559053876,0.0,0.0,81222.592394513,81222.592394513,647.321659155752,822.4040580641002,42.34531765579962,1512.0710348756518,64732.16591557519,16448.081161282003,42.34531765579962,0.0,301.24421008482466,444.2923198817343,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,2.780857801437378,0.0,0.0,0.0,True,feasible,simple_drone|fallback_truck_only,81578.02625041839,444.2923198817343,81578.02625041839,0.0,,0.0,True,feasible_only,0.0,81578.02625041839,True,81578.02625041839,81578.02625041839,0.0,
S0006_R01,602027,paired_baseline,S0006,n50_p0.25_d2_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,0.24,0.25,2,3,medium,2.0,uniform,medium,base,0.1,100.0,20.0,1.0,peripheral,10183.941938054111,196.4709973395279,26.874193735028125,273.17346480399203,9687.423282175563,9687.423282175563,94.5970786270645,11.385770973455635,0.0,105.98284960052014,9459.707862706451,227.7154194691127,0.0,0.0,179.6001613437589,245.58874667440986,89.58064578342709,43,7,0.14,3,4,2.3333333333333335,3.5,22.169066865200296,251.00439793879175,39.02478068628458,111.43393316553131,5,0.5832488419389164,0.603992338743743,0,0,0,9.371702909469604,9.0,5.0,2265.0,True,feasible,baseline_paired,81578.02625041839,444.2923198817343,81578.02625041839,87.51631731467408,87.51631731467408,44.723611981457864,True,feasible_only,0.0,10183.941938054111,True,81578.02625041839,81578.02625041839,87.51631731467408,87.51631731467408
S0006_R01,602027,no_unpairing,S0006,n50_p0.25_d2_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,0.24,0.25,2,3,medium,2.0,uniform,medium,base,0.1,100.0,20.0,1.0,peripheral,9883.5928907953,192.51468291324363,17.509434653963005,213.86091052164193,9459.707862706451,9459.707862706451,94.5970786270645,0.0,0.0,94.5970786270645,9459.707862706451,0.0,0.0,0.0,189.37138349150774,240.64335364155454,58.36478217987669,44,6,0.12,3,3,2.0,6.0,0.0,213.86091052164193,35.64348508694032,111.43393316553131,2,0.8204012177273867,0.8204012177273867,0,0,0,20.695494651794434,6.0,6.0,6546.0,True,feasible,baseline_no_unpairing,81578.02625041839,444.2923198817343,81578.02625041839,87.88449127163749,87.88449127163749,45.836706404105485,True,feasible_only,0.0,9883.5928907953,True,81578.02625041839,81578.02625041839,87.88449127163749,87.88449127163749
S0006_R01,602027,nils,S0006,n50_p0.25_d2_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,0.24,0.25,2,3,medium,2.0,uniform,medium,base,0.1,100.0,20.0,1.0,peripheral,9669.731980273658,192.51468291324363,17.509434653963005,0.0,9459.707862706451,9459.707862706451,94.5970786270645,0.0,0.0,94.5970786270645,9459.707862706451,0.0,0.0,0.0,189.37138349150774,240.64335364155454,58.36478217987669,44,6,0.12,1,1,6.0,6.0,0.0,0.0,0.0,0.0,0,0.8204012177273867,0.8204012177273867,0,25,25,1.880162239074707,12.0,6.0,161.0,True,feasible,nils_complete,81578.02625041839,444.2923198817343,81578.02625041839,88.1466463155278,88.1466463155278,45.836706404105485,True,feasible_only,0.0,9669.731980273658,True,81578.02625041839,81578.02625041839,88.1466463155278,88.1466463155278
S0006_R01,602027,nils_no_local_search,S0006,n50_p0.25_d2_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,0.24,0.25,2,3,medium,2.0,uniform,medium,base,0.1,100.0,20.0,1.0,peripheral,49330.39070933192,287.0558291388176,38.85479373601087,0.0,49004.48008645709,49004.48008645709,441.8987247048598,362.8612759483748,0.0,804.7600006532346,44189.87247048598,7257.225518967496,0.0,0.0,285.3896335212885,358.819786423522,129.5159791200362,39,11,0.22,2,2,5.5,5.5,0.0,0.0,0.0,0.0,0,0.883509968021224,0.8880633122271344,0,36,36,2.0538082122802734,12.0,11.0,120.0,True,feasible,ablation_no_local_search,81578.02625041839,444.2923198817343,81578.02625041839,39.52980603146314,39.52980603146314,19.23790478326615,True,feasible_only,0.0,49330.39070933192,True,81578.02625041839,81578.02625041839,39.52980603146314,39.52980603146314
S0006_R01,602027,nils_no_perturbation,S0006,n50_p0.25_d2_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,50,0.24,0.25,2,3,medium,2.0,uniform,medium,base,0.1,100.0,20.0,1.0,peripheral,9669.731980273658,192.51468291324363,17.509434653963005,0.0,9459.707862706451,9459.707862706451,94.5970786270645,0.0,0.0,94.5970786270645,9459.707862706451,0.0,0.0,0.0,189.37138349150774,240.64335364155454,58.36478217987669,44,6,0.12,1,1,6.0,6.0,0.0,0.0,0.0,0.0,0,0.8204012177273867,0.8204012177273867,0,25,25,1.8860490322113037,11.0,6.0,141.0,True,feasible,ablation_no_perturbation,81578.02625041839,444.2923198817343,81578.02625041839,88.1466463155278,88.1466463155278,45.836706404105485,True,feasible_only,0.0,9669.731980273658,True,81578.02625041839,81578.02625041839,88.1466463155278,88.1466463155278
S0007_R01,1702030,truck_only,S0007,n50_p0.25_d2_uniform_Ehigh_V1.25_Hshort_PWbase_B0.10,50,0.24,0.25,2,3,high,1.25,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,140914.80368953303,417.28572348784934,0.0,0.0,140497.51796604518,140497.51796604518,874.7837470814001,2616.7118874558723,684.9055087876978,4176.401143324971,87478.37470814,52334.23774911745,684.9055087876978,0.0,427.1104624456716,521.6071543598117,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0726470947265625,0.0,0.0,0.0,True,feasible,baseline_truck_only,140914.80368953303,521.6071543598117,140924.40064062233,,,0.0,True,feasible_only,0.0,140914.80368953303,True,140914.80368953303,140924.40064062233,,
S0007_R01,1702030,simple_drone,S0007,n50_p0.25_d2_uniform_Ehigh_V1.25_Hshort_PWbase_B0.10,50,0.24,0.25,2,3,high,1.25,uniform,short,base,0.1,100.0,20.0,1.0,peripheral,140924.40064062233,426.8826745771525,0.0,0.0,140497.51796604518,140497.51796604518,874.7837470814001,2616.7118874558723,684.9055087876978,4176.401143324971,87478.37470814,52334.23774911745,684.9055087876978,0.0,427.1104624456716,533.6033432214407,0.0,50,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,1.8907206058502197,0.0,0.0,0.0,True,feasible,baseline_simple_drone,140914.80368953303,521.6071543598117,140924.40064062233,-0.0068104633707959305,,-2.2998512887255846,True,feasible_only,0.0,140924.40064062233,True,140914.80368953303,140924.40064062233,-0.0068104633707959305,
