rho,budget_fraction,absolute_budget,objective,second_objective,absolute_margin,margin_percent,selected_y_json,selected_z_json,selected_w_json,road_budget_used,road_budget_slack,feasible_tier_count,within_0p01_percent,within_0p10_percent,within_0p50_percent,corridor_2_full,corridor_3_full,residual_split_two_corridors,base_budget_fraction
0.0,0.6,3.281054275271686,1066.3879249943966,1067.0232707256246,0.6353457312279716,0.059579231566346744,"[1.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223969, 0.0, 96.98202567760309]",3.2348697603257897,0.04618451494589637,2260,1,3,27,True,True,False,0.42000000000000004
0.0,0.625,3.4177648700746732,1066.3879249943966,1067.0232707256246,0.6353457312279716,0.059579231566346744,"[1.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223969, 0.0, 96.98202567760309]",3.2348697603257897,0.18289510974888357,2412,1,4,33,True,True,False,0.42000000000000004
0.0,0.65,3.5544754648776604,1065.9455819545428,1066.2454319657481,0.29985001120530796,0.028129954875885498,"[1.0,1.0,1.0,0.0,0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223965, 0.0, 96.98202567760363]",3.552405251593389,0.0020702132842713716,2548,1,5,39,True,True,False,0.42000000000000004
0.025,0.2,1.0936847584238956,1226.0511385487384,1249.7852327914597,23.734094242721312,1.9358160109712117,"[0.0,0.5,0.75,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.98202567760303]",1.0781352055026567,0.01554955292123883,96,1,1,1,False,False,True,0.42000000000000004
0.025,0.225,1.2303953532268823,1207.4147312675532,1214.7533935694491,7.338662301895965,0.6077996327071297,"[0.0,0.75,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760364]",1.101236873980789,0.12915847924609336,141,1,1,1,False,False,True,0.42000000000000004
0.025,0.25,1.3671059480298693,1168.1279855968753,1172.741028243107,4.613042646231634,0.3949090085256813,"[0.0,1.0,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760376]",1.3307249161681995,0.036381031861669744,200,1,1,2,True,False,True,0.42000000000000004
0.025,0.275,1.5038165428328563,1168.1279855968753,1172.741028243107,4.613042646231634,0.3949090085256813,"[0.0,1.0,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.98202567760376]",1.3307249161681995,0.17309162666465672,268,1,1,2,True,False,True,0.42000000000000004
0.025,0.3,1.640527137635843,1129.7701568510533,1145.3854632359962,15.615306384942869,1.3821666548943512,"[0.0,1.0,0.75,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223963, 0.0, 96.9820256776037]",1.5371112898774781,0.10341584775836488,354,1,1,1,True,False,True,0.42000000000000004
0.025,0.325,1.7772377324388302,1099.9133943032812,1129.7701568510533,29.856762547772178,2.714464857179448,"[0.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.9820256776029]",1.7434976635867565,0.0337400688520737,458,1,1,1,True,True,False,0.42000000000000004
0.025,0.35,1.913948327241817,1099.9133943032812,1127.5336860065127,27.620291703231487,2.5111333170669337,"[0.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223971, 0.0, 96.9820256776029]",1.7434976635867565,0.17045066365506045,577,1,1,1,True,True,False,0.42000000000000004
