rho,perturbed_corridor_index,corridor_id,cost_multiplier,objective,second_objective,margin_percent,selected_y_json,perturbed_budget_used,perturbed_budget_slack,feasible_tier_count,corridor_2_full,corridor_3_full
0.125,3,corr_anamizu_wajima,0.8,1170.6444477964758,1171.886722695053,0.10611889040397042,"[0.0,1.0,1.0,0.0,0.5]",2.2134595471545326,0.0832784455356479,1085,True,True
0.125,3,corr_anamizu_wajima,0.9,1170.6444477964758,1174.4645017544603,0.32632059761399873,"[0.0,1.0,1.0,0.0,0.5]",2.2960140966382436,0.0007238960519369009,1036,True,True
0.125,3,corr_anamizu_wajima,1.1,1174.5742489002841,1174.9796105695798,0.03451137036889502,"[0.0,1.0,1.0,0.0,0.25]",2.143587704338067,0.15315028835211342,949,True,True
0.125,3,corr_anamizu_wajima,1.2,1174.5742489002841,1174.9796105695798,0.03451137036889502,"[0.0,1.0,1.0,0.0,0.25]",2.2261422538217785,0.07059573886840198,910,True,True
0.125,4,corr_anamizu_noto,0.8,1174.4645017544603,1174.5742489002841,0.009344441288762561,"[0.0,1.0,1.0,0.25,0.25]",2.2537155681990138,0.04302242449116678,1100,True,True
0.125,4,corr_anamizu_noto,0.9,1174.4645017544603,1174.5742489002841,0.009344441288762561,"[0.0,1.0,1.0,0.25,0.25]",2.277800869867096,0.01893712282308435,1047,True,True
0.125,4,corr_anamizu_noto,1.1,1174.5742489002841,1174.9796105695798,0.03451137036889502,"[0.0,1.0,1.0,0.0,0.25]",2.0610331548543557,0.23570483783582485,945,True,True
0.125,4,corr_anamizu_noto,1.2,1174.5742489002841,1174.9796105695798,0.03451137036889502,"[0.0,1.0,1.0,0.0,0.25]",2.0610331548543557,0.23570483783582485,895,True,True
0.125,5,corr_anamizu_suzu,0.8,1170.6444477964758,1174.4645017544603,0.32632059761399873,"[0.0,1.0,1.0,0.0,0.5]",2.2515544496149156,0.045183543075264954,1132,True,True
0.125,5,corr_anamizu_suzu,0.9,1174.4645017544603,1174.5742489002841,0.009344441288762561,"[0.0,1.0,1.0,0.25,0.25]",2.2701326224084184,0.02660537028176213,1061,True,True
0.125,5,corr_anamizu_suzu,1.1,1174.5742489002841,1174.9796105695798,0.03451137036889502,"[0.0,1.0,1.0,0.0,0.25]",2.092786703981116,0.20395128870906465,937,True,True
0.125,5,corr_anamizu_suzu,1.2,1174.5742489002841,1174.9796105695798,0.03451137036889502,"[0.0,1.0,1.0,0.0,0.25]",2.1245402531078756,0.1721977395823049,877,True,True
0.15,1,corr_kanazawa_nanao,0.8,1185.0467233797858,1187.2949194287,0.18971370533832682,"[0.0,1.0,1.0,0.0,0.25]",2.0610331548543557,0.23570483783582485,1152,True,True
0.15,1,corr_kanazawa_nanao,0.9,1185.0467233797858,1187.4182355918724,0.20011972231128422,"[0.0,1.0,1.0,0.0,0.25]",2.0610331548543557,0.23570483783582485,1071,True,True
0.15,1,corr_kanazawa_nanao,1.1,1185.0467233797858,1187.4182355918724,0.20011972231128422,"[0.0,1.0,1.0,0.0,0.25]",2.0610331548543557,0.23570483783582485,925,True,True
0.15,1,corr_kanazawa_nanao,1.2,1185.0467233797858,1187.4182355918724,0.20011972231128422,"[0.0,1.0,1.0,0.0,0.25]",2.0610331548543557,0.23570483783582485,877,True,True
0.15,2,corr_nanao_anamizu,0.8,1180.6272141974205,1182.3328006727857,0.1444644384658389,"[0.0,1.0,1.0,0.0,0.5]",2.1949782123720265,0.10175978031815403,1099,True,True
0.15,2,corr_nanao_anamizu,0.9,1180.6272141974205,1184.927546530087,0.3642413355336647,"[0.0,1.0,1.0,0.0,0.5]",2.286773429246991,0.009964563443189522,1044,True,True
0.15,2,corr_nanao_anamizu,1.1,1185.0467233797858,1187.4182355918724,0.20011972231128422,"[0.0,1.0,1.0,0.0,0.25]",2.15282837172932,0.14390962096086035,945,True,True
0.15,2,corr_nanao_anamizu,1.2,1185.0467233797858,1189.8997390396737,0.40952103947825397,"[0.0,1.0,1.0,0.0,0.25]",2.2446235886042842,0.05211440408589629,904,True,True
0.15,3,corr_anamizu_wajima,0.8,1180.6272141974205,1182.3328006727857,0.1444644384658389,"[0.0,1.0,1.0,0.0,0.5]",2.2134595471545326,0.0832784455356479,1085,True,True
0.15,3,corr_anamizu_wajima,0.9,1180.6272141974205,1184.927546530087,0.3642413355336647,"[0.0,1.0,1.0,0.0,0.5]",2.2960140966382436,0.0007238960519369009,1036,True,True
0.15,3,corr_anamizu_wajima,1.1,1185.0467233797858,1187.4182355918724,0.20011972231128422,"[0.0,1.0,1.0,0.0,0.25]",2.143587704338067,0.15315028835211342,949,True,True
0.15,3,corr_anamizu_wajima,1.2,1185.0467233797858,1187.4182355918724,0.20011972231128422,"[0.0,1.0,1.0,0.0,0.25]",2.2261422538217785,0.07059573886840198,910,True,True
0.15,4,corr_anamizu_noto,0.8,1184.927546530087,1185.0467233797858,0.010057733069650986,"[0.0,1.0,1.0,0.25,0.25]",2.2537155681990138,0.04302242449116678,1100,True,True
0.15,4,corr_anamizu_noto,0.9,1184.927546530087,1185.0467233797858,0.010057733069650986,"[0.0,1.0,1.0,0.25,0.25]",2.277800869867096,0.01893712282308435,1047,True,True
0.15,4,corr_anamizu_noto,1.1,1185.0467233797858,1187.4182355918724,0.20011972231128422,"[0.0,1.0,1.0,0.0,0.25]",2.0610331548543557,0.23570483783582485,945,True,True
0.15,4,corr_anamizu_noto,1.2,1185.0467233797858,1187.4182355918724,0.20011972231128422,"[0.0,1.0,1.0,0.0,0.25]",2.0610331548543557,0.23570483783582485,895,True,True
0.15,5,corr_anamizu_suzu,0.8,1180.6272141974205,1184.927546530087,0.3642413355336647,"[0.0,1.0,1.0,0.0,0.5]",2.2515544496149156,0.045183543075264954,1132,True,True
0.15,5,corr_anamizu_suzu,0.9,1184.927546530087,1185.0467233797858,0.010057733069650986,"[0.0,1.0,1.0,0.25,0.25]",2.2701326224084184,0.02660537028176213,1061,True,True
0.15,5,corr_anamizu_suzu,1.1,1185.0467233797858,1187.4182355918724,0.20011972231128422,"[0.0,1.0,1.0,0.0,0.25]",2.092786703981116,0.20395128870906465,937,True,True
0.15,5,corr_anamizu_suzu,1.2,1185.0467233797858,1187.4182355918724,0.20011972231128422,"[0.0,1.0,1.0,0.0,0.25]",2.1245402531078756,0.1721977395823049,877,True,True
