instance_id,scenario_id,n,feasible_nilsr,objective_nilsr,cpu_time_nilsr,feasible_other,objective_other,cpu_time_other,usable_nilsr,usable_other,pair_feasible,objective_diff_nilsr_minus_other,improvement_nilsr_vs_other_pct,winner
S0007_R01,S0007,15,True,133.6646353088,1.3524219990,True,133.6646353088,0.7838656902,True,True,True,0.0000000000,0.0000000000,tie
S0007_R02,S0007,15,True,5746.6835756395,1.1579015255,True,171.3867850002,0.7521972656,True,True,True,5575.2967906393,-3253.0494055494,nils
S0007_R03,S0007,15,True,130.6351642335,1.0824241638,True,133.1121385576,0.6082675457,True,True,True,-2.4769743241,1.8608177668,nils_r
S0007_R04,S0007,15,True,161.8873433694,0.9956946373,True,161.8873433694,0.7553668022,True,True,True,0.0000000000,0.0000000000,tie
S0007_R05,S0007,15,True,159.1994887636,0.4330048561,True,159.1994887636,0.4451415539,True,True,True,0.0000000000,0.0000000000,tie
S0007_R06,S0007,15,True,154.7197307166,1.3716332912,True,154.7197307166,0.5946936607,True,True,True,0.0000000000,0.0000000000,tie
S0007_R07,S0007,15,True,104.6428982091,0.9329597950,True,104.6428982091,0.6275222301,True,True,True,0.0000000000,0.0000000000,tie
S0007_R08,S0007,15,True,1599.9229155565,1.2693190575,True,161.8656263731,0.4602379799,True,True,True,1438.0572891834,-888.4266050833,nils
S0007_R09,S0007,15,True,6547.5871271027,1.0726742744,True,138.4391171717,0.4500901699,True,True,True,6409.1480099310,-4629.5787930965,nils
S0007_R10,S0007,15,True,96.7463076943,0.8924133778,True,96.7463076943,0.7152886391,True,True,True,0.0000000000,0.0000000000,tie
S0008_R01,S0008,15,True,111.2819180258,0.9945852757,True,111.2819180258,0.5557987690,True,True,True,0.0000000000,0.0000000000,tie
S0008_R02,S0008,15,True,156.9608705130,0.5725064278,True,156.9608705130,0.6114242077,True,True,True,0.0000000000,0.0000000000,tie
S0008_R03,S0008,15,True,123.1138138757,0.9932847023,True,123.1138138757,0.5749425888,True,True,True,0.0000000000,0.0000000000,tie
S0008_R04,S0008,15,True,113.3885337254,1.6837408543,True,117.2913969634,0.2284271717,True,True,True,-3.9028632380,3.3274931828,nils_r
S0008_R05,S0008,15,True,159.3163613885,0.4093339443,True,159.9991791416,0.5554184914,True,True,True,-0.6828177531,0.4267632851,nils_r
S0008_R06,S0008,15,True,145.5424682246,0.7104868889,True,168.1045322281,0.8068449497,True,True,True,-22.5620640035,13.4214489666,nils_r
S0008_R07,S0008,15,True,155.2916172503,1.8037331104,True,155.2916172503,1.1503956318,True,True,True,0.0000000000,0.0000000000,tie
S0008_R08,S0008,15,True,135.2645299397,1.5835840702,True,135.2645299397,0.2105298042,True,True,True,0.0000000000,0.0000000000,tie
S0008_R09,S0008,15,True,116.0600456008,0.5480909348,True,116.0600456008,0.7579960823,True,True,True,0.0000000000,0.0000000000,tie
S0008_R10,S0008,15,True,203.9761690284,0.9084370136,True,203.9761690284,0.9211466312,True,True,True,0.0000000000,0.0000000000,tie
S0009_R01,S0009,15,True,1126.6268636865,0.9592032433,True,121.6839051699,1.7878403664,True,True,True,1004.9429585166,-825.8635002825,nils
S0009_R02,S0009,15,True,53.5838089981,0.5812101364,True,53.5838089981,1.0620148182,True,True,True,0.0000000000,0.0000000000,tie
S0009_R03,S0009,15,True,55.9844170158,1.1020703316,True,55.9844170158,0.6850457191,True,True,True,0.0000000000,0.0000000000,tie
S0009_R04,S0009,15,True,84.4911325539,1.8592951298,True,84.4911325539,1.2693340778,True,True,True,0.0000000000,0.0000000000,tie
S0009_R05,S0009,15,True,50.1467614882,1.0844087601,True,50.1467614882,0.8512611389,True,True,True,0.0000000000,0.0000000000,tie
S0009_R06,S0009,15,True,50.3798216651,1.0313310623,True,50.3798216651,0.9134819508,True,True,True,0.0000000000,0.0000000000,tie
S0009_R07,S0009,15,True,49.8623640547,1.1831984520,True,49.8623640547,0.9597136974,True,True,True,0.0000000000,0.0000000000,tie
S0009_R08,S0009,15,True,52.5905863547,1.0231268406,True,52.5905863547,0.9384322166,True,True,True,0.0000000000,0.0000000000,tie
S0009_R09,S0009,15,True,51.3031293588,1.2782235146,True,51.3031293588,0.6288046837,True,True,True,0.0000000000,0.0000000000,tie
S0009_R10,S0009,15,True,51.2288463622,0.5696036816,True,51.2288463622,0.8431551456,True,True,True,0.0000000000,0.0000000000,tie
S0010_R01,S0010,15,True,145.8066976880,1.3143813610,True,145.8066976880,0.9443151951,True,True,True,0.0000000000,0.0000000000,tie
S0010_R02,S0010,15,True,149.1654687876,1.7594556808,True,144.1177379302,0.2847476006,True,True,True,5.0477308574,-3.5025049171,nils
S0010_R03,S0010,15,True,139.5294834907,1.2614607811,True,139.5294834907,0.7150824070,True,True,True,0.0000000000,0.0000000000,tie
S0010_R04,S0010,15,True,130.7828767452,1.1447954178,True,130.7828767452,1.2400338650,True,True,True,0.0000000000,0.0000000000,tie
S0010_R05,S0010,15,True,3219.3326704632,1.1171927452,True,174.8428696115,0.9040527344,True,True,True,3044.4898008517,-1741.2719246810,nils
S0010_R06,S0010,15,True,116.7493635190,2.0809667110,True,126.8261902895,0.7440633774,True,True,True,-10.0768267705,7.9453831638,nils_r
S0010_R07,S0010,15,True,138.0576769979,0.7654008865,True,138.0576769979,0.9205362797,True,True,True,0.0000000000,0.0000000000,tie
S0010_R08,S0010,15,True,1344.1412494815,1.2596602440,True,977.6736722601,0.8812971115,True,True,True,366.4675772214,-37.4836295197,nils
S0010_R09,S0010,15,True,125.3385508170,1.0428509712,True,125.3385508170,0.6520256996,True,True,True,0.0000000000,0.0000000000,tie
S0010_R10,S0010,15,True,133.0363434457,1.0045800209,True,133.0363434457,0.9136154652,True,True,True,0.0000000000,0.0000000000,tie
S0011_R01,S0011,15,True,89.6736231316,2.0672063828,True,89.6736231316,1.3232045174,True,True,True,0.0000000000,0.0000000000,tie
S0011_R02,S0011,15,True,49.7361751927,1.6037697792,True,49.7361751927,0.6059625149,True,True,True,0.0000000000,0.0000000000,tie
S0011_R03,S0011,15,True,52.2248760446,2.3947129250,True,52.2248760446,1.1056101322,True,True,True,0.0000000000,0.0000000000,tie
S0011_R04,S0011,15,True,84.6587453105,0.4846756458,True,84.6587453105,0.8831479549,True,True,True,0.0000000000,0.0000000000,tie
S0011_R05,S0011,15,True,56.5381355988,1.9254631996,True,56.5381355988,1.1066298485,True,True,True,0.0000000000,0.0000000000,tie
S0011_R06,S0011,15,True,1208.3378070788,1.5449507236,True,122.2715383454,1.1630752087,True,True,True,1086.0662687334,-888.2412730143,nils
S0011_R07,S0011,15,True,50.3930840275,1.1018106937,True,50.3930840275,0.8828935623,True,True,True,0.0000000000,0.0000000000,tie
S0011_R08,S0011,15,True,116.6036312461,2.7777771950,True,116.6036312461,1.0011889935,True,True,True,0.0000000000,0.0000000000,tie
S0011_R09,S0011,15,True,79.0955100336,2.1972918510,True,79.0955100336,0.5772655010,True,True,True,0.0000000000,0.0000000000,tie
S0011_R10,S0011,15,True,58.8471392042,1.1206486225,True,58.8471392042,1.0002326965,True,True,True,0.0000000000,0.0000000000,tie
S0012_R01,S0012,15,True,2454.6710195821,1.1451761723,True,158.6698167977,0.8945326805,True,True,True,2296.0012027844,-1447.0308525734,nils
S0012_R02,S0012,15,True,8751.6677939252,1.2581090927,True,8751.6677939252,2.3198575974,True,True,True,0.0000000000,0.0000000000,tie
S0012_R03,S0012,15,True,6320.9083622561,0.6553685665,True,2414.0652959853,0.6307148933,True,True,True,3906.8430662708,-161.8366774407,nils
S0012_R04,S0012,15,True,15585.8411526309,0.6526038647,True,3763.6431966570,0.8484563828,True,True,True,11822.1979559739,-314.1158005221,nils
S0012_R05,S0012,15,True,8271.1191071308,1.1258230209,True,157.3767092215,0.8660025597,True,True,True,8113.7423979093,-5155.6182856064,nils
S0012_R06,S0012,15,True,132.5766940341,1.5033848286,True,134.4914592047,0.8575153351,True,True,True,-1.9147651706,1.4237076331,nils_r
S0012_R07,S0012,15,True,103.5741083337,0.9922783375,True,103.5741083337,1.7771224976,True,True,True,0.0000000000,0.0000000000,tie
S0012_R08,S0012,15,True,6055.3188324995,0.8846654892,True,1129.0137163016,2.3900995255,True,True,True,4926.3051161979,-436.3370475547,nils
S0012_R09,S0012,15,True,92.6458542943,0.6496222019,True,94.2638812573,0.4908845425,True,True,True,-1.6180269630,1.7164866770,nils_r
S0012_R10,S0012,15,True,129.5559366617,1.0138590336,True,129.5559366617,0.2293863297,True,True,True,0.0000000000,0.0000000000,tie
S0013_R01,S0013,15,True,46.6817056390,0.9115059376,True,46.7546952907,1.6952645779,True,True,True,-0.0729896517,0.1561119183,nils_r
S0013_R02,S0013,15,True,50.7784262653,2.4623072147,True,51.8649435165,1.3776059151,True,True,True,-1.0865172512,2.0948972033,nils_r
S0013_R03,S0013,15,True,46.0807232363,1.6721732616,True,46.3548360122,1.3691194057,True,True,True,-0.2741127759,0.5913358766,nils_r
S0013_R04,S0013,15,True,48.3914150541,2.0454404354,True,48.7039815291,1.9534099102,True,True,True,-0.3125664750,0.6417678087,nils_r
S0013_R05,S0013,15,True,45.7644942180,2.5532927513,True,46.2087896504,1.3709948063,True,True,True,-0.4442954324,0.9614954985,nils_r
S0013_R06,S0013,15,True,52.3039390576,1.9731717110,True,52.3039390576,1.3316524029,True,True,True,0.0000000000,0.0000000000,tie
S0013_R07,S0013,15,True,52.6938038490,2.2080390453,True,53.0963965113,0.9058964252,True,True,True,-0.4025926623,0.7582297270,nils_r
S0013_R08,S0013,15,True,45.1507818735,2.6015293598,True,45.4937782145,1.9788055420,True,True,True,-0.3429963410,0.7539412079,nils_r
S0013_R09,S0013,15,True,47.5833030146,2.4008042812,True,47.6067498584,2.0518770218,True,True,True,-0.0234468438,0.0492510912,nils_r
S0013_R10,S0013,15,True,48.7930162515,2.5674500465,True,49.1227897127,1.5836868286,True,True,True,-0.3297734612,0.6713247825,nils_r
S0014_R01,S0014,15,True,48.6466693541,3.0630712509,True,48.6912697746,1.4117307663,True,True,True,-0.0446004205,0.0915983927,nils_r
S0014_R02,S0014,15,True,50.6725959894,2.7538650036,True,50.7122249231,1.2270228863,True,True,True,-0.0396289337,0.0781447348,nils_r
S0014_R03,S0014,15,True,48.0347654796,2.4122488499,True,48.0347654796,0.9301266670,True,True,True,0.0000000000,0.0000000000,tie
S0014_R04,S0014,15,True,49.7366052151,2.2755587101,True,50.8615072771,1.1327188015,True,True,True,-1.1249020620,2.2116962753,nils_r
S0014_R05,S0014,15,True,50.5545362574,2.8967227936,True,50.8970015471,0.6286287308,True,True,True,-0.3424652897,0.6728594599,nils_r
S0014_R06,S0014,15,True,46.1737671765,2.2631011009,True,46.5210789201,0.8781611919,True,True,True,-0.3473117436,0.7465685484,nils_r
S0014_R07,S0014,15,True,50.0297389158,2.5849235058,True,50.2913855216,1.2604725361,True,True,True,-0.2616466058,0.5202612795,nils_r
S0014_R08,S0014,15,True,47.3210614550,2.6383037567,True,48.4301209364,1.0118722916,True,True,True,-1.1090594814,2.2900200535,nils_r
S0014_R09,S0014,15,True,50.4981936658,2.4508309364,True,50.9764465226,0.9915268421,True,True,True,-0.4782528568,0.9381839838,nils_r
S0014_R10,S0014,15,True,49.5752916615,1.9251010418,True,50.6290270642,1.1954889297,True,True,True,-1.0537354027,2.0812870873,nils_r
S0015_R01,S0015,15,True,51.3355769809,1.5787904263,True,51.3355769809,2.2373030186,True,True,True,0.0000000000,0.0000000000,tie
S0015_R02,S0015,15,True,44.7307591946,2.1960875988,True,45.2768710320,1.3145885468,True,True,True,-0.5461118374,1.2061607283,nils_r
