instance_id,scenario_id,n,feasible_nilsr,objective_nilsr,cpu_time_nilsr,feasible_other,objective_other,cpu_time_other,usable_nilsr,usable_other,pair_feasible,objective_diff_nilsr_minus_other,improvement_nilsr_vs_other_pct,winner
S0008_R10,S0008,15,True,203.9761690284,0.9084370136,True,201.8213577833,5.8635480404,True,True,True,2.1548112451,-1.0676824637,feasibility_aware_alns
S0009_R01,S0009,15,True,1126.6268636865,0.9592032433,True,54.4542228058,10.0096671581,True,True,True,1072.1726408807,-1968.9430601266,feasibility_aware_alns
S0009_R02,S0009,15,True,53.5838089981,0.5812101364,True,53.5838089981,6.7776622772,True,True,True,0.0000000000,0.0000000000,tie
S0009_R03,S0009,15,True,55.9844170158,1.1020703316,True,56.0141959831,5.3016314507,True,True,True,-0.0297789673,0.0531632505,nils_r
S0009_R04,S0009,15,True,84.4911325539,1.8592951298,True,495.7105388898,6.7136187553,True,True,True,-411.2194063359,82.9555504825,nils_r
S0009_R05,S0009,15,True,50.1467614882,1.0844087601,True,50.1624618478,4.3855490685,True,True,True,-0.0157003596,0.0312990213,nils_r
S0009_R06,S0009,15,True,50.3798216651,1.0313310623,True,51.2478717726,9.6143364906,True,True,True,-0.8680501075,1.6938266458,nils_r
S0009_R07,S0009,15,True,49.8623640547,1.1831984520,True,52.3653471898,3.9188828468,True,True,True,-2.5029831351,4.7798463477,nils_r
S0009_R08,S0009,15,True,52.5905863547,1.0231268406,True,52.5905863547,4.1594710350,True,True,True,0.0000000000,0.0000000000,tie
S0009_R09,S0009,15,True,51.3031293588,1.2782235146,True,47.6788031390,10.0244181156,True,True,True,3.6243262198,-7.6015461404,feasibility_aware_alns
S0009_R10,S0009,15,True,51.2288463622,0.5696036816,True,51.6877758131,4.4603459835,True,True,True,-0.4589294509,0.8878877910,nils_r
S0010_R01,S0010,15,True,145.8066976880,1.3143813610,True,1922.4215609488,4.1534268856,True,True,True,-1776.6148632608,92.4154670001,nils_r
S0010_R02,S0010,15,True,149.1654687876,1.7594556808,True,2151.4493254602,10.0133879185,True,True,True,-2002.2838566726,93.0667449601,nils_r
S0010_R03,S0010,15,True,139.5294834907,1.2614607811,True,137.9741594177,10.0233244896,True,True,True,1.5553240730,-1.1272575094,feasibility_aware_alns
S0010_R04,S0010,15,True,130.7828767452,1.1447954178,True,133.6623418054,10.0223443508,True,True,True,-2.8794650602,2.1542829650,nils_r
S0010_R05,S0010,15,True,3219.3326704632,1.1171927452,True,3314.4022574400,10.0365548134,True,True,True,-95.0695869768,2.8683780541,nils_r
S0010_R06,S0010,15,True,116.7493635190,2.0809667110,True,1805.9463584081,10.0033483505,True,True,True,-1689.1969948891,93.5352806591,nils_r
S0010_R07,S0010,15,True,138.0576769979,0.7654008865,True,139.1990309171,6.5728468895,True,True,True,-1.1413539192,0.8199438686,nils_r
S0010_R08,S0010,15,True,1344.1412494815,1.2596602440,True,1874.6946221276,3.8960251808,True,True,True,-530.5533726461,28.3007891730,nils_r
S0010_R09,S0010,15,True,125.3385508170,1.0428509712,True,127.3141143196,10.0111892223,True,True,True,-1.9755635026,1.5517238706,nils_r
S0010_R10,S0010,15,True,133.0363434457,1.0045800209,True,146.0251199337,8.3209347725,True,True,True,-12.9887764880,8.8948918473,nils_r
S0011_R01,S0011,15,True,89.6736231316,2.0672063828,True,472.3662315872,7.5484876633,True,True,True,-382.6926084556,81.0160809272,nils_r
S0011_R02,S0011,15,True,49.7361751927,1.6037697792,True,50.7299437545,9.6650989056,True,True,True,-0.9937685618,1.9589388205,nils_r
S0011_R03,S0011,15,True,52.2248760446,2.3947129250,True,51.8315656189,8.1959884167,True,True,True,0.3933104257,-0.7588241277,feasibility_aware_alns
S0011_R04,S0011,15,True,84.6587453105,0.4846756458,True,77.8265684313,10.0098643303,True,True,True,6.8321768792,-8.7787204510,feasibility_aware_alns
S0011_R05,S0011,15,True,56.5381355988,1.9254631996,True,58.2694807560,10.0516963005,True,True,True,-1.7313451572,2.9712726709,nils_r
S0011_R06,S0011,15,True,1208.3378070788,1.5449507236,True,1274.9119184466,9.6035544872,True,True,True,-66.5741113678,5.2218596755,nils_r
S0011_R07,S0011,15,True,50.3930840275,1.1018106937,True,50.3930840275,10.0617084503,True,True,True,0.0000000000,0.0000000000,tie
S0011_R08,S0011,15,True,116.6036312461,2.7777771950,True,203.7884483499,8.8078625202,True,True,True,-87.1848171038,42.7820211645,nils_r
S0011_R09,S0011,15,True,79.0955100336,2.1972918510,True,114.2367498153,9.2435789108,True,True,True,-35.1412397817,30.7617643521,nils_r
S0011_R10,S0011,15,True,58.8471392042,1.1206486225,True,58.9986344842,9.2671210766,True,True,True,-0.1514952800,0.2567776040,nils_r
S0012_R01,S0012,15,True,2454.6710195821,1.1451761723,True,2470.6694709955,10.0307707787,True,True,True,-15.9984514134,0.6475350751,nils_r
S0012_R02,S0012,15,True,8751.6677939252,1.2581090927,True,14668.6045457655,10.0211927891,True,True,True,-5916.9367518403,40.3374208731,nils_r
S0012_R03,S0012,15,True,6320.9083622561,0.6553685665,True,6104.4098207514,10.0120005608,True,True,True,216.4985415047,-3.5465925104,feasibility_aware_alns
S0012_R04,S0012,15,True,15585.8411526309,0.6526038647,True,15585.8411526309,7.1146178246,True,True,True,0.0000000000,0.0000000000,tie
S0012_R05,S0012,15,True,8271.1191071308,1.1258230209,True,8272.6894585573,10.0195066929,True,True,True,-1.5703514265,0.0189823568,nils_r
S0012_R06,S0012,15,True,132.5766940341,1.5033848286,True,138.9974096963,10.0057296753,True,True,True,-6.4207156622,4.6193059829,nils_r
S0012_R07,S0012,15,True,103.5741083337,0.9922783375,True,115.9944398898,10.0425682068,True,True,True,-12.4203315561,10.7076956170,nils_r
S0012_R08,S0012,15,True,6055.3188324995,0.8846654892,True,6059.5139667571,4.7378528118,True,True,True,-4.1951342576,0.0692321906,nils_r
S0012_R09,S0012,15,True,92.6458542943,0.6496222019,True,94.2638812573,10.0167627335,True,True,True,-1.6180269630,1.7164866770,nils_r
S0012_R10,S0012,15,True,129.5559366617,1.0138590336,True,131.0770220730,10.0358469486,True,True,True,-1.5210854113,1.1604516087,nils_r
S0013_R01,S0013,15,True,46.6817056390,0.9115059376,True,46.4282428603,10.0672013760,True,True,True,0.2534627787,-0.5459236945,feasibility_aware_alns
S0013_R02,S0013,15,True,50.7784262653,2.4623072147,True,51.7516273047,5.4060342312,True,True,True,-0.9732010394,1.8805225847,nils_r
S0013_R03,S0013,15,True,46.0807232363,1.6721732616,True,46.1036074851,10.0101327896,True,True,True,-0.0228842488,0.0496365687,nils_r
S0013_R04,S0013,15,True,48.3914150541,2.0454404354,True,50.3700739551,9.5546238422,True,True,True,-1.9786589010,3.9282429936,nils_r
S0013_R05,S0013,15,True,45.7644942180,2.5532927513,True,45.5056277627,10.0065090656,True,True,True,0.2588664553,-0.5688669029,feasibility_aware_alns
S0013_R06,S0013,15,True,52.3039390576,1.9731717110,True,52.9676382728,7.4310386181,True,True,True,-0.6636992152,1.2530277672,nils_r
S0013_R07,S0013,15,True,52.6938038490,2.2080390453,True,53.5455200379,10.0365896225,True,True,True,-0.8517161889,1.5906394938,nils_r
S0013_R08,S0013,15,True,45.1507818735,2.6015293598,True,46.7073128695,4.7416875362,True,True,True,-1.5565309960,3.3325209702,nils_r
S0013_R09,S0013,15,True,47.5833030146,2.4008042812,True,44.0240306265,5.1226038933,True,True,True,3.5592723881,-8.0848398873,feasibility_aware_alns
S0013_R10,S0013,15,True,48.7930162515,2.5674500465,True,52.0590181561,9.0143358707,True,True,True,-3.2660019046,6.2736525203,nils_r
S0014_R01,S0014,15,True,48.6466693541,3.0630712509,True,49.3746934242,10.0280919075,True,True,True,-0.7280240701,1.4744882846,nils_r
S0014_R02,S0014,15,True,50.6725959894,2.7538650036,True,50.1830343366,9.2363493443,True,True,True,0.4895616528,-0.9755521149,feasibility_aware_alns
S0014_R03,S0014,15,True,48.0347654796,2.4122488499,True,48.7222668613,7.4922895432,True,True,True,-0.6875013817,1.4110619764,nils_r
S0014_R04,S0014,15,True,49.7366052151,2.2755587101,True,49.9405335836,5.3350822926,True,True,True,-0.2039283685,0.4083423902,nils_r
S0014_R05,S0014,15,True,50.5545362574,2.8967227936,True,156.3086214370,8.4594829082,True,True,True,-105.7540851796,67.6572310646,nils_r
S0014_R06,S0014,15,True,46.1737671765,2.2631011009,True,49.8045469385,10.0486927032,True,True,True,-3.6307797620,7.2900568024,nils_r
S0014_R07,S0014,15,True,50.0297389158,2.5849235058,True,49.1506204037,8.6139760017,True,True,True,0.8791185121,-1.7886213946,feasibility_aware_alns
S0014_R08,S0014,15,True,47.3210614550,2.6383037567,True,47.2402025176,10.0198340416,True,True,True,0.0808589374,-0.1711655181,feasibility_aware_alns
S0014_R09,S0014,15,True,50.4981936658,2.4508309364,True,51.4103558939,10.0050292015,True,True,True,-0.9121622281,1.7742772098,nils_r
S0014_R10,S0014,15,True,49.5752916615,1.9251010418,True,50.2848932518,9.7194533348,True,True,True,-0.7096015903,1.4111625668,nils_r
S0015_R01,S0015,15,True,51.3355769809,1.5787904263,True,48.3387024378,10.0451645851,True,True,True,2.9968745431,-6.1997413914,feasibility_aware_alns
S0015_R02,S0015,15,True,44.7307591946,2.1960875988,True,44.2003175983,7.1887774467,True,True,True,0.5304415963,-1.2000854861,feasibility_aware_alns
S0015_R03,S0015,15,True,45.8482370035,2.2132236958,True,46.4535195648,10.0210812092,True,True,True,-0.6052825613,1.3029853647,nils_r
S0015_R04,S0015,15,True,54.1256195061,1.6559576988,True,98.7443742765,10.0141525269,True,True,True,-44.6187547704,45.1861233587,nils_r
S0015_R05,S0015,15,True,53.2339027876,1.1014962196,True,51.5539848039,8.5202741623,True,True,True,1.6799179837,-3.2585608854,feasibility_aware_alns
S0015_R06,S0015,15,True,54.6302250972,1.4112007618,True,57.6743753559,8.8454017639,True,True,True,-3.0441502587,5.2781677130,nils_r
S0015_R07,S0015,15,True,49.6785578605,2.0489776134,True,56.3456912294,7.4124157429,True,True,True,-6.6671333689,11.8325522741,nils_r
S0015_R08,S0015,15,True,47.3432081521,3.2342627048,True,49.2782195494,10.0122559071,True,True,True,-1.9350113973,3.9267072045,nils_r
S0015_R09,S0015,15,True,55.1944820446,1.7284007072,True,54.3293452679,10.0334458351,True,True,True,0.8651367767,-1.5923931578,feasibility_aware_alns
S0015_R10,S0015,15,True,51.1223769460,2.2516248226,True,52.1611637150,6.7651879787,True,True,True,-1.0387867690,1.9914946198,nils_r
S0016_R01,S0016,15,True,50.3820285177,3.0140843391,True,52.7446274665,10.0063292980,True,True,True,-2.3625989488,4.4793167803,nils_r
S0016_R02,S0016,15,True,50.3097547747,1.1135492325,True,236.0434959372,4.3958277702,True,True,True,-185.7337411625,78.6862355284,nils_r
S0016_R03,S0016,15,True,49.6700792747,2.1497504711,True,49.9508922793,7.4333047867,True,True,True,-0.2808130046,0.5621781550,nils_r
S0016_R04,S0016,15,True,53.3516940934,1.6644413471,True,59.9314995343,10.0035798550,True,True,True,-6.5798054409,10.9788767043,nils_r
S0016_R05,S0016,15,True,48.0294177611,2.3575143814,True,48.8228164916,5.0594081879,True,True,True,-0.7933987305,1.6250572735,nils_r
S0016_R06,S0016,15,True,49.3259394038,2.2273602486,True,49.1021855397,5.6748015881,True,True,True,0.2237538641,-0.4556902338,feasibility_aware_alns
S0016_R07,S0016,15,True,51.5589077017,2.6511082649,True,52.1913484343,7.3933167458,True,True,True,-0.6324407326,1.2117731225,nils_r
S0016_R08,S0016,15,True,49.2662043847,0.8314783573,True,49.0964774210,10.0342156887,True,True,True,0.1697269637,-0.3457008988,feasibility_aware_alns
S0016_R09,S0016,15,True,47.0785193930,2.1053419113,True,47.1433855263,10.0090000629,True,True,True,-0.0648661333,0.1375932860,nils_r
S0016_R10,S0016,15,True,47.6204815110,2.5847835541,True,49.2243298317,5.3772423267,True,True,True,-1.6038483207,3.2582430806,nils_r
