rho,rank,objective,gap_to_best,gap_percent,selected_y_json,y_budget_used,candidate_index
0.05,7,959.1380195274088,31.42983840919794,3.3879013949531047,"[0.25, 1.0, 0.75, 0.25, 0.0]",2.150807330743059,1206
0.05,8,959.3376052557774,31.629424137566502,3.409415242996138,"[0.25, 1.0, 0.75, 0.0, 0.25]",2.2274898053298355,1202
0.05,9,959.3376052557777,31.629424137566843,3.409415242996175,"[0.25, 1.0, 0.75, 0.0, 0.0]",1.9099543140622364,1201
0.05,10,960.9977090156989,33.28952789748803,3.5883620059664207,"[0.0, 1.0, 0.75, 0.75, 0.0]",2.259670339919946,591
0.1,1,937.1267551597514,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",2.1163406877715145,1226
0.1,2,939.1301721091022,2.0034169493508216,0.21378292086104195,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,611
0.1,3,939.2967239489831,2.169968789231689,0.23155552621713119,"[0.0, 1.0, 1.0, 0.25, 0.0]",1.9843506802675792,606
0.1,4,939.4953759961955,2.3686208364441654,0.2527535174300288,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,602
0.1,5,939.4953759961957,2.368620836444279,0.25275351743004093,"[0.0, 1.0, 1.0, 0.0, 0.0]",1.7434976635867565,601
0.1,6,969.5829325082243,32.45617734847292,3.463371114928859,"[0.5, 1.0, 0.75, 0.0, 0.0]",2.282797338246995,1826
0.1,7,971.3419781451021,34.21522298535069,3.6510773806173153,"[0.25, 1.0, 0.75, 0.25, 0.0]",2.150807330743059,1206
0.1,8,971.5536548305868,34.42689967083538,3.673665219916451,"[0.25, 1.0, 0.75, 0.0, 0.0]",1.9099543140622364,1201
0.1,9,971.5536548305879,34.42689967083652,3.6736652199165722,"[0.25, 1.0, 0.75, 0.0, 0.25]",2.2274898053298355,1202
0.1,10,973.3578720270746,36.23111686732318,3.8661917043598746,"[0.0, 1.0, 0.75, 0.75, 0.0]",2.259670339919946,591
0.15,1,939.4972657134642,0.0,0.0,"[0.25, 1.0, 1.0, 0.0, 0.0]",2.1163406877715145,1226
0.15,2,941.8077984435034,2.310532730039199,0.24593288499722837,"[0.0, 1.0, 1.0, 0.5, 0.0]",2.2252036969484017,611
0.15,3,941.9923318887932,2.4950661753289296,0.26557460744009187,"[0.0, 1.0, 1.0, 0.25, 0.0]",1.9843506802675792,606
0.15,4,942.2128521020837,2.7155863886194993,0.28904675806131847,"[0.0, 1.0, 1.0, 0.0, 0.25]",2.0610331548543557,602
0.15,5,942.2128521020843,2.7155863886200677,0.28904675806137897,"[0.0, 1.0, 1.0, 0.0, 0.0]",1.7434976635867565,601
0.15,6,981.30013332109,41.802867607625785,4.449493269773408,"[0.5, 1.0, 0.75, 0.0, 0.0]",2.282797338246995,1826
0.15,7,983.0367835796044,43.53951786614016,4.634342158843409,"[0.25, 1.0, 0.75, 0.25, 0.0]",2.150807330743059,1206
0.15,8,983.2816129856259,43.784347272161654,4.660401777637038,"[0.25, 1.0, 0.75, 0.0, 0.0]",1.9099543140622364,1201
