scenario_id,density_cap,response_profile,rho,tau,stage1_benchmark,objective_bound,stage2_service_lower,stage2_service_upper,stage2_objective,realized_sacrifice,realized_sacrifice_percent,selected_y_json,selected_z_json,selected_w_json,admissible_policy_count,service_tie_count,bisection_steps,bisection_resolution,maximum_oracle_gap
k2p00__base,2.0,base,0.125,0.001,1174.5742489002841,1175.7488231491843,0.2705078125,0.27056884765625,1174.5742489002841,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,348.0289218062954,188.3190525161009,96.98202567760376]",2,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.125,0.0025,1174.5742489002841,1177.5106845225348,0.2705078125,0.27056884765625,1174.5742489002841,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,348.0289218062954,188.3190525161009,96.98202567760376]",2,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.125,0.005,1174.5742489002841,1180.4471201447855,0.2705078125,0.27056884765625,1174.5742489002841,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,348.0289218062954,188.3190525161009,96.98202567760376]",5,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.125,0.01,1174.5742489002841,1186.319991389287,0.2705078125,0.27056884765625,1174.5742489002841,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,348.0289218062954,188.3190525161009,96.98202567760376]",5,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.15,0.0,1185.0467233797858,1185.0467333797858,0.28277587890625,0.2828369140625,1185.0467233797858,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,280.59320351909935,255.75477080329875,96.98202567760194]",1,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.15,0.0005,1185.0467233797858,1185.6392467414757,0.28277587890625,0.2828369140625,1185.0467233797858,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,280.59320351909935,255.75477080329875,96.98202567760194]",1,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.15,0.001,1185.0467233797858,1186.2317701031654,0.28277587890625,0.2828369140625,1185.0467233797858,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,280.59320351909935,255.75477080329875,96.98202567760194]",1,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.15,0.0025,1185.0467233797858,1188.0093401882352,0.28277587890625,0.2828369140625,1185.0467233797858,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,280.59320351909935,255.75477080329875,96.98202567760194]",2,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.15,0.005,1185.0467233797858,1190.9719569966846,0.28314208984375,0.283203125,1190.0244818147412,4.977758434955376,0.4200474408940326,"[0.0,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,282.42615660582095,253.9218177165764,96.98202567760265]",5,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.15,0.01,1185.0467233797858,1196.8971906135837,0.28314208984375,0.283203125,1190.0244818147412,4.977758434955376,0.4200474408940326,"[0.0,1.0,1.0,0.0,0.0]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,282.42615660582095,253.9218177165764,96.98202567760265]",5,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.2,0.0,1204.519775281224,1204.519785281224,0.28192138671875,0.281982421875,1204.519775281224,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,276.18572679423403,260.1622475281618,96.98202567760421]",1,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.2,0.0005,1204.519775281224,1205.1220351688644,0.28192138671875,0.281982421875,1204.519775281224,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,276.18572679423403,260.1622475281618,96.98202567760421]",1,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.2,0.001,1204.519775281224,1205.724295056505,0.28192138671875,0.281982421875,1204.519775281224,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,276.18572679423403,260.1622475281618,96.98202567760421]",1,1,14,0.0001,9.094947017729282e-13
k2p00__base,2.0,base,0.2,0.0025,1204.519775281224,1207.531074719427,0.28192138671875,0.281982421875,1204.519775281224,0.0,0.0,"[0.0,1.0,1.0,0.0,0.25]","[0.0,0.0,0.38468508402373724,0.0,0.0]","[0.0,0.0,0.0,276.18572679423403,260.1622475281618,96.98202567760421]",2,1,14,0.0001,9.094947017729282e-13
